"year","AKS","NTH","FRE","FRL","RBH","RBT","GSQ","GST","GSH","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","URB","SPR","BON","CWF","LRW","WSH","CWS","SUM","ORC","WCN","LYF","MCB"
1979,9951,70356,42985,141803,27245,38172,12087,10869,15680,12052,22567,14605,8643,71000,20168,978,5687,8362,37253,16960,36775,40294,23152,20930,11956,15400,78085,15568,501,95
1980,10764,74023,35691,105464,41477,58054,10627,12259,13660,13946,23975,12047,8613,1763,22689,833,5504,8216,36218,34780,32511,40671,27159,28022,14314,11444,68969,17161,477,1375
1981,13744,77811,31075,92585,27615,38490,12395,8660,9629,13045,24020,8459,8524,1335,18004,714,4322,7120,26224,18595,27441,33198,24143,32850,18406,7624,81222,16600,386,3896
1982,11677,79377,31228,116597,67938,55262,10404,5961,9617,13901,22739,9270,7220,734,16466,636,3944,5802,35862,45667,39553,45662,12178,31469,14650,7700,56459,15923,456,6654
1983,14630,89339,54570,113176,71198,35958,11997,5933,11669,29339,23778,8472,4692,464,11417,507,3898,10947,37598,9701,37137,51999,12417,22137,10017,8218,61700,15466,503,11105
1984,22243,104197,64655,99679,100975,36137,9664,6969,10601,29074,27617,10548,4967,412,16329,627,3247,10725,61356,9856,27892,32982,6419,34096,10163,10844,130333,27754,533,9384
1985,24650,130805,73311,151816,88784,31287,12459,7098,19108,27935,28412,11510,5755,508,23185,1096,4166,10290,129285,6793,41254,50711,8784,24507,6423,13080,103739,21237,438,6681
1986,24678,151079,94812,192313,61027,20994,22701,5516,16152,20872,32946,13896,5677,478,17190,1289,4632,18942,138487,3170,31549,51361,13336,29517,3376,16382,89777,33731,332,12349
1987,26142,157068,102246,100004,77465,23579,21206,6018,12069,13602,42595,18192,5597,505,11101,1200,4492,31873,178829,5006,56954,53728,22558,39888,13970,16184,146396,28792,344,35582
1988,25837,173281,104170,60048,101647,28602,20666,6369,7522,13732,46173,21765,5582,691,13363,902,3553,26479,202939,2782,26366,125701,24663,63414,20086,14917,187412,47868,257,61616
1989,15862,174975,69861,88410,114634,26756,22224,7132,13379,27101,60964,22363,7725,643,9182,765,3635,28474,131527,4915,25870,75111,28530,56222,11960,14518,91480,26768,273,60001
1990,12481,175512,90297,179869,157719,34197,13964,9134,13524,25489,56796,17525,6485,428,10868,1028,3040,25501,96896,6204,12825,32127,15350,47391,9442,13516,103320,32389,239,41166
1991,11729,170219,82541,103326,204143,45926,18687,9969,18252,17641,42364,18253,3932,429,5211,1121,2755,22722,65944,21473,25501,20694,10882,47152,8836,8105,102714,27805,198,28540
1992,9104,174636,88209,169278,194899,45673,12642,10309,13469,14526,34144,12778,2956,607,3971,890,3080,19516,52301,11181,35034,28412,5435,41267,14650,8976,109017,27919,552,23825
1993,12740,174681,80353,139742,186968,44479,10812,6586,10243,13123,36265,9053,2858,507,2962,726,3449,23479,63880,8675,19114,30031,5585,34012,9586,9612,82348,21042,622,27209
1994,11427,148367,89791,123981,134043,32060,8281,8071,11504,9538,48598,9514,3780,385,2861,770,3585,21618,99800,10144,18382,26595,9049,28845,5675,8433,108229,24873,511,30708
1995,9355,148571,113807,54280,77992,19824,11687,15326,13236,12041,64118,13619,4393,498,4251,882,3539,20849,85493,9708,13481,27096,6290,24167,2710,9610,102370,23547,329,28621
1996,10277,176278,139558,88320,84060,23142,11721,17855,21431,13465,65068,12852,4526,667,8105,1075,3961,17371,109994,7622,19110,59701,12758,17285,4191,10883,100883,36011,519,38641
1997,8869,161903,118313,110834,116629,29513,13775,12066,22631,18997,60992,15134,5175,672,9511,1189,3601,20165,96864,13998,18707,32521,9170,31974,3573,9907,97615,22672,705,52940
1998,8511,149439,133750,307927,128145,29353,20397,10954,19491,18900,73157,16606,6486,750,10973,1366,2941,14974,69032,8072,15629,18697,4989,28997,3613,10822,81310,22341,708,44516
1999,16455,158409,119532,200626,75428,15216,26791,8461,25732,13094,76272,18361,6977,981,8168,1370,2876,15508,107192,16307,11278,23213,4300,29192,3359,14208,74099,19677,794,38604
2000,18248,182811,121316,138935,31958,5156,34599,8973,18483,12145,69286,14734,7767,1618,15505,1439,3653,14529,88336,7755,13086,22412,7920,39927,5364,19315,98891,20122,1973,38778
2001,19701,188644,146666,181728,79546,10327,40387,7543,32417,21361,77968,15588,10026,2600,15711,1440,5430,18268,141111,42068,48133,51481,11865,74034,3682,44476,121942,18461,2278,51464
2002,18304,172115,164596,205008,136489,16376,41019,7460,26360,39250,80191,15538,12061,3312,13890,1391,6638,21685,171005,62139,56743,57457,13710,98648,13248,63738,175494,24938,3877,101772
2003,14376,162701,164682,209409,157036,14443,40886,6726,19204,16111,70298,12072,12036,3084,16135,1272,6966,27426,217416,85369,41024,108779,8808,93829,19248,61097,169742,36299,3518,134710
2004,19422,151017,138881,243196,232197,18114,32826,5525,21332,10466,79598,10303,15330,2235,21464,1276,7748,31859,185474,78181,21151,55504,19713,113856,19285,43485,138761,38517,2681,103521
2005,16260,146849,152433,160163,125589,11122,36212,4511,23485,8121,76604,9517,15867,1916,19469,1190,6179,31730,163108,27709,15395,66405,6159,46005,12512,41325,127023,34000,3307,77347
2006,16947,140943,154090,125268,149302,18736,37951,4208,25537,10486,88225,9666,18625,1729,16926,1078,5457,28289,123625,10533,5071,35459,11687,53335,18166,25693,75618,26806,2188,66532
2007,14917,123040,140135,104784,89111,11587,27768,4889,11039,14060,87509,8944,18294,1594,11058,1001,4566,26218,67127,7020,8622,21168,5638,22928,8230,34503,50621,21902,1987,47221
2008,13707,118424,137120,110316,84202,10863,25893,5493,15499,13198,74744,8943,16320,1748,12335,1237,4647,25291,119498,26809,12184,36176,3221,28195,4092,30564,34221,22150,2588,53005
2009,13297,121063,149884,79288,57231,7569,25411,3771,12946,14320,63374,7041,13532,2049,8219,1108,3413,27418,125822,15759,8744,55017,6391,38009,5038,30244,48610,18307,2497,60967
2010,12715,112021,164395,187953,87028,11947,24842,4044,10704,18976,68412,5627,15023,2096,7065,928,2682,33934,181039,49374,17126,38883,10658,86162,8319,30066,106864,25885,7699,60702
2011,12112,96451,144267,191866,112247,14243,24924,7671,11082,13995,69221,5920,14603,1584,8390,1085,2302,30936,206769,21388,15309,97500,5075,56272,5537,26969,83136,24793,8116,69163
2012,5455,88239,123605,80186,94420,10581,34966,7220,7421,12161,74853,6870,15588,1294,14036,1195,2662,31953,180370,32126,24446,47977,12915,47019,10167,54092,67129,22446,13291,80170
2013,9983,95629,139380,99926,106184,11782,42160,5152,7151,13443,71488,7466,15266,1367,12727,924,2662,28818,546711,31818,17186,71049,8373,39684,8052,47844,143056,25087,15482,150578
2014,8994,110193,140449,64410,124039,16448,40787,8296,16067,15773,56185,7219,12737,1326,11000,574,2518,30684,525420,38597,17557,66464,22078,44386,7169,49460,148066,19540,15958,200879
2015,8671,122364,184139,198571,119678,15565,38027,10489,13400,9251,49881,8136,10325,1204,12711,490,2785,38397,424277,58722,18825,71874,26338,69876,21055,39054,112635,22749,14711,158473
2016,6058,112761,163453,89270,164951,19690,37412,9451,8369,8154,58026,7860,11543,1248,14845,473,3484,30208,287505,15578,10243,59879,7630,40786,19208,49702,107515,21610,11755,78038
2017,4896,108254,172110,112272,133380,18439,40981,11163,10414,9412,68928,8101,14057,1297,14785,360,3692,32621,182899,54813,20314,48420,12779,29952,17433,39763,80529,23352,11091,54583
2018,4839,112948,195082,116350,130168,20886,56870,12452,12103,11301,81173,9465,16587,1283,14835,279,3774,37018,108237,64946,24461,58211,16375,32087,17154,37749,57638,25383,10731,35777
