FisheryNum,FisheryName,FisheryGroup,Year,Observed_Catch,Model_LCatch,Model_TM
1,Alaska Troll,Alaska Troll,1979,337672,234594.13,303179.49
1,Alaska Troll,Alaska Troll,1980,303643,269952.95,344691.65
1,Alaska Troll,Alaska Troll,1981,248782,248899.12,332181.86
1,Alaska Troll,Alaska Troll,1982,241938,320775.38,474116.06
1,Alaska Troll,Alaska Troll,1983,269821,379901.88,546472.91
1,Alaska Troll,Alaska Troll,1984,235622,280765.64,413329.66
1,Alaska Troll,Alaska Troll,1985,211933,224540.6,355713.54
1,Alaska Troll,Alaska Troll,1986,231649,245429.41,364529.64
1,Alaska Troll,Alaska Troll,1987,231051,244795.85,396043.98
1,Alaska Troll,Alaska Troll,1988,217088,230002.25,317612.28
1,Alaska Troll,Alaska Troll,1989,224182,237518.23,360769.07
1,Alaska Troll,Alaska Troll,1990,263528,279204.88,397981.18
1,Alaska Troll,Alaska Troll,1991,231803,245592.58,367636.23
1,Alaska Troll,Alaska Troll,1992,162617,172290.87,279694.87
1,Alaska Troll,Alaska Troll,1993,212350,224982.34,326143.96
1,Alaska Troll,Alaska Troll,1994,177146,187684.14,290097.61
1,Alaska Troll,Alaska Troll,1995,115072,121917.43,191005.7
1,Alaska Troll,Alaska Troll,1996,107581,113980.88,181121.32
1,Alaska Troll,Alaska Troll,1997,221944,235147.07,321321.51
1,Alaska Troll,Alaska Troll,1998,183489,194404.48,250187.97
1,Alaska Troll,Alaska Troll,1999,132741,140637.5,211918.37
1,Alaska Troll,Alaska Troll,2000,133963,141932.24,202474.74
1,Alaska Troll,Alaska Troll,2001,128692,136347.69,194044.01
1,Alaska Troll,Alaska Troll,2002,298132,315867.39,423692.09
1,Alaska Troll,Alaska Troll,2003,307380,325665.53,416385.94
1,Alaska Troll,Alaska Troll,2004,321876,341023.9,444105.42
1,Alaska Troll,Alaska Troll,2005,304891,323028.54,413082.65
1,Alaska Troll,Alaska Troll,2006,263980,279683.81,362403.95
1,Alaska Troll,Alaska Troll,2007,240472,254777.32,333666.4
1,Alaska Troll,Alaska Troll,2008,126397,133916.13,194068.69
1,Alaska Troll,Alaska Troll,2009,159166,168634.49,237761.3
1,Alaska Troll,Alaska Troll,2010,178023,188613.35,265878.65
1,Alaska Troll,Alaska Troll,2011,220371,233480.49,307038.82
1,Alaska Troll,Alaska Troll,2012,191519,202912.17,278684.66
1,Alaska Troll,Alaska Troll,2013,134600,142607.16,212388.87
1,Alaska Troll,Alaska Troll,2014,340007,360233.5,470241.53
