FisheryNum,FisheryName,FisheryGroup,Year,Observed_Catch,Model_LCatch,Model_TM
1,Alaska Troll,Alaska Troll,1979,337672,235414,304235.79
1,Alaska Troll,Alaska Troll,1980,303643,270766.57,345735.41
1,Alaska Troll,Alaska Troll,1981,248782,249954.15,333582.14
1,Alaska Troll,Alaska Troll,1982,241938,321916.49,475786.53
1,Alaska Troll,Alaska Troll,1983,269821,380821.59,547783.45
1,Alaska Troll,Alaska Troll,1984,235622,281282.61,414094.1
1,Alaska Troll,Alaska Troll,1985,211933,225222.18,356795.76
1,Alaska Troll,Alaska Troll,1986,231649,246174.48,365633.05
1,Alaska Troll,Alaska Troll,1987,231051,245538.94,397220.32
1,Alaska Troll,Alaska Troll,1988,217088,230700.43,318572.3
1,Alaska Troll,Alaska Troll,1989,224182,238239.25,361852.91
1,Alaska Troll,Alaska Troll,1990,263528,280052.38,399175.7
1,Alaska Troll,Alaska Troll,1991,231803,246338.15,368745.82
1,Alaska Troll,Alaska Troll,1992,162617,172813.83,280543.82
1,Alaska Troll,Alaska Troll,1993,212350,225665.31,327136.92
1,Alaska Troll,Alaska Troll,1994,177146,188253.91,290978.86
1,Alaska Troll,Alaska Troll,1995,115072,122287.49,191580.91
1,Alaska Troll,Alaska Troll,1996,107581,114326.82,181682.26
1,Alaska Troll,Alaska Troll,1997,221944,235860.9,322631.03
1,Alaska Troll,Alaska Troll,1998,183489,194994.61,248585.37
1,Alaska Troll,Alaska Troll,1999,132741,141064.46,207680.77
1,Alaska Troll,Alaska Troll,2000,133963,142363.14,202975.44
1,Alaska Troll,Alaska Troll,2001,128692,136761.61,200368.25
1,Alaska Troll,Alaska Troll,2002,298132,316826.24,429787.24
1,Alaska Troll,Alaska Troll,2003,307380,326654.11,417724.32
1,Alaska Troll,Alaska Troll,2004,321876,342059.06,446121.76
1,Alaska Troll,Alaska Troll,2005,304891,324009.09,415398.36
1,Alaska Troll,Alaska Troll,2006,263980,280532.83,362065.69
1,Alaska Troll,Alaska Troll,2007,240472,255550.74,334481.69
1,Alaska Troll,Alaska Troll,2008,126397,134322.71,194657.9
1,Alaska Troll,Alaska Troll,2009,159166,169146.45,238483.89
1,Alaska Troll,Alaska Troll,2010,178023,189185.84,266686.51
1,Alaska Troll,Alaska Troll,2011,220371,234189.28,307971.42
1,Alaska Troll,Alaska Troll,2012,191519,203528.13,279532.22
1,Alaska Troll,Alaska Troll,2013,134600,143040.03,213034.41
1,Alaska Troll,Alaska Troll,2014,340007,361326.98,471668.36
1,Alaska Troll,Alaska Troll,2015,251088,266832.29,348012.52
1,Alaska Troll,Alaska Troll,2016,266008,282687.97,361392.55
2,Alaska Terminal Troll,Alaska Terminal Troll,1979,3809,1022.87,1041.89
2,Alaska Terminal Troll,Alaska Terminal Troll,1980,2697,742.55,756.64
2,Alaska Terminal Troll,Alaska Terminal Troll,1981,1805,567.72,579.16
2,Alaska Terminal Troll,Alaska Terminal Troll,1982,869,552.13,565.06
2,Alaska Terminal Troll,Alaska Terminal Troll,1983,525,238.89,244.05
2,Alaska Terminal Troll,Alaska Terminal Troll,1984,767,181.48,185.31
2,Alaska Terminal Troll,Alaska Terminal Troll,1985,1093,302.97,309.85
2,Alaska Terminal Troll,Alaska Terminal Troll,1986,804,244.54,249.76
2,Alaska Terminal Troll,Alaska Terminal Troll,1987,1352,401.65,409.35
2,Alaska Terminal Troll,Alaska Terminal Troll,1988,778,334.94,341.05
2,Alaska Terminal Troll,Alaska Terminal Troll,1989,743,298.62,304.48
2,Alaska Terminal Troll,Alaska Terminal Troll,1990,678,264.06,268.74
2,Alaska Terminal Troll,Alaska Terminal Troll,1991,1217,383.33,390.33
2,Alaska Terminal Troll,Alaska Terminal Troll,1992,2302,541.99,554.37
2,Alaska Terminal Troll,Alaska Terminal Troll,1993,1442,486.3,497.58
2,Alaska Terminal Troll,Alaska Terminal Troll,1994,4216,957.86,979.68
2,Alaska Terminal Troll,Alaska Terminal Troll,1995,10416,1206.67,1228.26
2,Alaska Terminal Troll,Alaska Terminal Troll,1996,6478,1279.13,1300.25
2,Alaska Terminal Troll,Alaska Terminal Troll,1997,4796,879.39,895.72
2,Alaska Terminal Troll,Alaska Terminal Troll,1998,4315,866.76,884.73
2,Alaska Terminal Troll,Alaska Terminal Troll,1999,5316,734.22,750.94
2,Alaska Terminal Troll,Alaska Terminal Troll,2000,3444,719.96,737.84
2,Alaska Terminal Troll,Alaska Terminal Troll,2001,2256,621.99,636.19
2,Alaska Terminal Troll,Alaska Terminal Troll,2002,2303,516.02,526.05
2,Alaska Terminal Troll,Alaska Terminal Troll,2003,4579,650.5,662.4
2,Alaska Terminal Troll,Alaska Terminal Troll,2004,2677,561.66,571.9
2,Alaska Terminal Troll,Alaska Terminal Troll,2005,1055,335.91,342.08
2,Alaska Terminal Troll,Alaska Terminal Troll,2006,1000,289.37,294.23
2,Alaska Terminal Troll,Alaska Terminal Troll,2007,1190,282.23,287.46
2,Alaska Terminal Troll,Alaska Terminal Troll,2008,1041,345.05,352.12
2,Alaska Terminal Troll,Alaska Terminal Troll,2009,1260,319.2,325.95
2,Alaska Terminal Troll,Alaska Terminal Troll,2010,533,301.54,307.09
