"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,4.32,0,386.67,0,0.03,0,12.13,0,0,0,0,0,0,0,0,0
1979,1,1,3,3502.52,0,261.45,0,28.02,0,8.2,0,0,0,0,0,0,0,0,0
1979,1,1,4,4911.19,0,6.95,0,39.29,0,0.22,0,0,0,0,0,0,0,0,0
1979,1,1,5,988.23,0,0.5,0,7.91,0,0.02,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,120.92,0,0,0,8.06,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,73.05,0,0,0,4.87,0,0,0,0,0,0,0,0,0
1979,1,4,4,11.64,0,7.68,0,0.2,0,0.51,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0.4,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,2.58,0,120.25,0,0.02,0,3.77,0,0,0,0,0,0,0,0,0
1979,2,1,3,187.02,0,50.41,0,1.5,0,1.58,0,0,0,0,0,0,0,0,0
1979,2,1,4,1530.48,0,1.44,0,12.24,0,0.05,0,0,0,0,0,0,0,0,0
1979,2,1,5,806.02,0,0.16,0,6.45,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
