"FisheryNum","FisheryName","FisheryGroup","Year","Observed_Catch","Model_LCatch","Model_TM"
1,"Alaska Troll","Alaska Troll",1979,337672,234306.78,303230.97
1,"Alaska Troll","Alaska Troll",1980,303643,272027.52,347311.52
1,"Alaska Troll","Alaska Troll",1981,248782,251507.95,336001.41
1,"Alaska Troll","Alaska Troll",1982,241938,325918.19,481829.91
1,"Alaska Troll","Alaska Troll",1983,269821,388265.9,559141.55
1,"Alaska Troll","Alaska Troll",1984,235622,285597.15,420733.68
1,"Alaska Troll","Alaska Troll",1985,211933,227483.04,359697.09
1,"Alaska Troll","Alaska Troll",1986,231649,248645.67,369026.96
1,"Alaska Troll","Alaska Troll",1987,231051,248003.72,402306.9
1,"Alaska Troll","Alaska Troll",1988,217088,233016.25,322426.18
1,"Alaska Troll","Alaska Troll",1989,224182,240630.7,366819.25
1,"Alaska Troll","Alaska Troll",1990,263528,282863.64,403722.84
1,"Alaska Troll","Alaska Troll",1991,231803,248810.92,372225.65
1,"Alaska Troll","Alaska Troll",1992,162617,174548.62,283720.72
1,"Alaska Troll","Alaska Troll",1993,212350,227930.63,330957.92
1,"Alaska Troll","Alaska Troll",1994,177146,190143.59,293397
1,"Alaska Troll","Alaska Troll",1995,115072,123515.12,193658.74
1,"Alaska Troll","Alaska Troll",1996,107581,115474.45,184273.44
1,"Alaska Troll","Alaska Troll",1997,221944,238228.5,327418.34
1,"Alaska Troll","Alaska Troll",1998,183489,196952.01,250804.72
1,"Alaska Troll","Alaska Troll",1999,132741,142480.46,209421.3
1,"Alaska Troll","Alaska Troll",2000,133963,143792.11,205251.5
1,"Alaska Troll","Alaska Troll",2001,128692,138134.43,202757.85
1,"Alaska Troll","Alaska Troll",2002,298132,320006.61,434741.58
1,"Alaska Troll","Alaska Troll",2003,307380,329933.13,421264.79
1,"Alaska Troll","Alaska Troll",2004,321876,345492.77,451251.05
1,"Alaska Troll","Alaska Troll",2005,304891,327261.53,419886.51
1,"Alaska Troll","Alaska Troll",2006,263980,283348.83,366142.85
1,"Alaska Troll","Alaska Troll",2007,240472,258115.96,339007.01
1,"Alaska Troll","Alaska Troll",2008,126397,135671.05,196524.24
1,"Alaska Troll","Alaska Troll",2009,159166,170844.34,240971.73
1,"Alaska Troll","Alaska Troll",2010,178023,191084.97,270864.58
1,"Alaska Troll","Alaska Troll",2011,220371,236540.14,310962.9
1,"Alaska Troll","Alaska Troll",2012,191519,205571.17,282245.34
1,"Alaska Troll","Alaska Troll",2013,134600,144475.86,215064.55
1,"Alaska Troll","Alaska Troll",2014,340007,364954.13,477591.76
1,"Alaska Troll","Alaska Troll",2015,251088,269510.95,354036.06
1,"Alaska Troll","Alaska Troll",2016,266008,285525.63,363535.39
2,"Alaska Terminal Troll","Alaska Terminal Troll",1979,100,1463.42,1493.87
2,"Alaska Terminal Troll","Alaska Terminal Troll",1980,100,962.97,983.73
2,"Alaska Terminal Troll","Alaska Terminal Troll",1981,100,795.74,815.22
2,"Alaska Terminal Troll","Alaska Terminal Troll",1982,100,851.64,874.57
2,"Alaska Terminal Troll","Alaska Terminal Troll",1983,0,264.96,271.33
2,"Alaska Terminal Troll","Alaska Terminal Troll",1984,0,399.12,409.3
2,"Alaska Terminal Troll","Alaska Terminal Troll",1985,0,719.77,739.6
2,"Alaska Terminal Troll","Alaska Terminal Troll",1986,0,434.56,445.37
2,"Alaska Terminal Troll","Alaska Terminal Troll",1987,0,697.06,712.01
2,"Alaska Terminal Troll","Alaska Terminal Troll",1988,0,458.06,467.93
2,"Alaska Terminal Troll","Alaska Terminal Troll",1989,0,386.03,394.89
2,"Alaska Terminal Troll","Alaska Terminal Troll",1990,0,413.59,421.97
2,"Alaska Terminal Troll","Alaska Terminal Troll",1991,0,545.12,557.27
2,"Alaska Terminal Troll","Alaska Terminal Troll",1992,0,1625.81,1667.78
2,"Alaska Terminal Troll","Alaska Terminal Troll",1993,0,786.17,810.54
2,"Alaska Terminal Troll","Alaska Terminal Troll",1994,0,2286.71,2356.09
2,"Alaska Terminal Troll","Alaska Terminal Troll",1995,0,3757.66,3843.21
2,"Alaska Terminal Troll","Alaska Terminal Troll",1996,0,3102.5,3162.83
