"year","AKS","NTH","FRE","FRL","RBH","RBT","GSQ","GST","GSH","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","URB","SPR","BON","CWF","LRW","WSH","CWS","SUM","ORC","WCN","LYF","MCB"
1979,9951,70356,81646,153306,31649,44347,12087,10869,15680,86284,41823,26293,19011,71109,26276,1274,14343,26592,89069,95796,56570,56488,29566,44934,23008,22381,99004,31001,2154,136
1980,10764,74023,65980,114349,50117,70149,10627,12259,13660,95305,44192,21302,19097,1817,29734,1081,14251,26519,86848,106487,52430,55839,33711,59677,27540,21313,87423,33938,2230,2070
1981,13744,77811,56080,105225,33077,46116,12395,8660,9629,93322,43876,15441,18474,1367,24022,930,11576,23488,66706,79178,43146,45650,29914,68137,35362,18490,102973,33711,2460,5520
1982,11677,79377,55038,127414,80338,67960,10404,5961,9617,96494,42743,17649,15207,750,21795,827,10134,18768,99633,124275,65721,64845,15943,65067,27920,15380,71571,31712,2375,9049
1983,14630,89339,63133,123789,88829,47635,11997,5933,11669,98588,47851,21392,11643,476,14867,650,10017,16441,64972,26020,47254,61523,16332,55986,27765,14889,78002,31988,1728,12813
1984,22243,104197,83143,111177,131789,46869,9664,6969,10601,108433,52159,20983,11078,427,17838,784,9283,16439,123308,45382,43667,45588,11129,88343,27363,16716,164971,33890,1111,11018
1985,24650,130805,103040,159277,99137,34974,12459,7098,19108,122632,56079,23673,13082,525,28556,1306,8590,20430,230910,34254,52448,61148,14504,72959,18120,18420,131874,40590,1278,8491
1986,24678,151079,117506,202278,67941,23385,22701,5516,16152,98772,63410,25450,12129,489,19444,1470,7446,30332,294182,15573,80107,115567,20688,71872,19627,19742,113731,53340,1774,20249
1987,26142,157068,115950,102433,83355,25402,21206,6018,12069,69864,82045,31406,12279,522,13095,1344,6609,43905,395637,11523,170937,160906,38470,94458,35011,21589,184996,64763,1978,56220
1988,25837,173281,113818,63361,114609,32369,20666,6369,7522,56159,96542,34050,13866,712,15098,1032,6316,57463,376277,12968,74824,227826,35444,124156,30170,22653,231487,78559,1811,93689
1989,15862,174975,104029,96383,141181,33465,22224,7132,13379,72387,111536,36911,15750,657,12501,952,6312,56810,216670,25117,35630,89558,47134,118265,20910,21181,112735,80300,1490,81470
1990,12481,175512,107780,182095,184144,39950,13964,9134,13524,79412,101140,32082,12619,433,11662,1135,5074,51236,163451,20055,14523,36011,22661,112568,17787,18809,126821,73475,1028,52381
1991,11729,170219,102094,109375,257259,57587,18687,9969,18252,52054,78966,27260,8024,438,6471,1218,4006,50821,101680,51737,31567,25351,16836,140293,16696,14382,126839,61867,1105,33928
1992,9104,174636,96376,174830,219297,51321,12642,10309,13469,33837,60940,19293,5730,619,4402,932,3710,53616,75895,29227,38803,31761,10756,79913,22160,12153,135003,53670,1286,28995
1993,12740,174681,100416,143879,220444,52466,10812,6586,10243,29987,61501,14630,5323,517,3264,750,3859,54536,93510,16614,21785,35008,14341,68941,17518,12981,99437,52110,1230,33522
1994,11427,148367,105450,126217,149635,35765,8281,8071,11504,29269,80161,16116,6713,394,2945,799,3850,48240,129202,18590,18690,26923,11015,53463,9924,13316,134064,49060,1191,33188
1995,9355,148571,122303,63589,87552,22194,11687,15326,13236,26755,97625,17909,7051,508,4788,935,4046,46027,111306,33182,13898,28376,20565,46929,4150,12965,124491,48087,1202,31526
1996,10277,176278,150355,112629,88380,24337,11721,17855,21431,31219,98399,17825,7155,671,8215,1112,4393,46161,177647,36669,21149,66563,13439,37468,4745,13931,123344,48059,1389,45577
1997,8869,161903,155049,143262,124014,31450,13775,12066,22631,38344,85916,17168,7539,697,10553,1223,3753,36062,157675,26535,20246,35635,13872,41052,4298,15763,120783,39458,1328,60346
1998,8511,149439,143526,309831,139156,31932,20397,10954,19491,43020,97334,19888,8875,754,11126,1389,3111,23884,111643,24279,16458,20621,6778,53507,3859,17349,98594,30166,1293,49099
1999,16455,158409,123672,214208,83457,16912,26791,8461,25732,42299,112577,21443,10717,983,8516,1391,2992,19276,185357,46060,12463,27084,4330,51015,4223,20639,90128,27132,2004,44273
2000,18248,182811,127063,142866,34795,5626,34599,8973,18483,44741,109801,21082,12893,1623,15720,1477,3977,20716,153716,16751,14045,24878,8045,54607,7325,30084,117214,28399,3886,43977
2001,19701,188644,152255,184859,83487,10864,40387,7543,32417,59805,118056,23196,15891,2606,15925,1470,5814,25924,254382,140372,52822,59086,13623,100530,5990,53245,146725,32642,6221,62673
2002,18304,172115,175618,211930,146379,17589,41019,7460,26360,58048,125085,21979,19710,3322,14032,1397,6853,32514,282956,141088,63008,65075,20411,130416,17684,76783,207036,37496,6984,122613
2003,14376,162701,180331,210933,173346,15937,40886,6726,19204,38829,123787,15299,22552,3098,16396,1298,7437,38341,372248,182009,44477,121167,20766,126522,24347,80621,207375,43303,6635,156915
2004,19422,151017,159641,251908,258601,20110,32826,5525,21332,23632,123128,13573,24854,2249,21733,1293,8073,40553,338862,171636,24772,62849,36299,154544,24840,69871,169527,46009,6641,116044
2005,16260,146849,156428,171408,149887,12484,36212,4511,23485,23836,132370,12615,29358,1927,20758,1225,6932,42045,272679,99006,17820,77528,10222,65514,18040,66632,154596,44327,6124,88445
2006,16947,140943,159652,143851,171519,20731,37951,4208,25537,34073,154177,12689,35052,1744,17704,1099,5810,39594,236583,28536,5953,42760,22049,71769,23824,62627,92790,38036,5765,76139
2007,14917,123040,142980,106980,112487,13853,27768,4889,11039,37130,158058,13293,35563,1601,12007,1023,4865,32784,107735,12677,9603,24872,6296,32108,13085,51678,62894,31321,5261,57449
2008,13707,118424,141375,130020,94896,11965,25893,5493,15499,34041,138857,14289,32265,1761,13884,1251,4687,30809,207386,79823,13808,42957,4677,33640,5652,51063,40861,30244,5724,65597
2009,13297,121063,153692,80818,65850,8431,25411,3771,12946,30673,118490,9882,27202,2052,11003,1119,3501,35656,212687,50110,10648,70079,7262,47650,7083,59620,58092,32374,7638,74674
2010,12715,112021,170016,240439,92947,12675,24842,4044,10704,37748,119626,7268,27946,2113,7834,941,2755,44241,276664,134723,22178,51068,11296,115952,11089,68817,126420,37874,11788,71411
2011,12112,96451,152426,215849,132433,16584,24924,7671,11082,40835,131498,7525,30271,1593,10325,1105,2423,48881,359522,67397,19784,124897,11478,84335,8849,72427,101204,41501,15999,81177
2012,5455,88239,126581,83156,108551,12068,34966,7220,7421,40235,143782,8689,32383,1298,15006,1196,2683,47722,262486,59093,27948,60455,16153,68723,14982,65047,81206,40601,19707,92049
2013,9983,95629,145524,151909,117207,12523,42160,5152,7151,37396,130316,8326,29494,1373,14005,933,2728,47806,883671,80540,20789,95225,16445,51464,11993,70268,172120,39192,24556,173584
2014,8994,110193,173366,335877,143570,18248,40787,8296,16067,32265,91892,7995,21699,1337,11963,579,2551,48415,781358,127559,21781,83453,27366,58645,10264,85872,180350,37936,24914,244303
2015,8671,122364,187299,206561,132843,16754,38027,10489,13400,24422,83727,8701,18360,1212,13318,495,2856,47555,599433,159093,21061,83955,33271,85903,26492,103790,135320,38644,22184,177545
2016,6058,112761,171298,113968,180251,21279,37412,9451,8369,19260,97763,8601,20684,1248,15929,476,3554,44150,417055,52902,11893,71952,16630,49999,26744,92551,131492,37350,18698,94669
2017,4896,108254,180300,142853,152727,20158,40981,11163,10414,21922,116882,8901,25438,1305,15947,364,3775,47587,253016,158396,24297,61429,19063,38756,24763,75738,98480,39456,16539,62130
2018,4839,112948,204640,139957,147527,22761,56870,12452,12103,26896,137879,10403,30006,1291,16009,282,3862,54544,152691,183414,29073,73068,23904,41930,24499,81012,69708,43931,16206,42173
