"FisheryNum","FisheryName","FisheryGroup","Year","Observed_Catch","Model_LCatch","Model_TM"
1,"Alaska Troll","Alaska Troll",1979,337672,232138.53,300003.4
1,"Alaska Troll","Alaska Troll",1980,303643,267340.04,341350.71
1,"Alaska Troll","Alaska Troll",1981,248782,246603.78,329118.78
1,"Alaska Troll","Alaska Troll",1982,241938,317923.98,469776.04
1,"Alaska Troll","Alaska Troll",1983,269821,383383.96,551628.48
1,"Alaska Troll","Alaska Troll",1984,235622,277353.85,408597.85
1,"Alaska Troll","Alaska Troll",1985,211933,223227.52,353201.74
1,"Alaska Troll","Alaska Troll",1986,231649,243994.29,361898.1
1,"Alaska Troll","Alaska Troll",1987,231051,243364.38,394312.18
1,"Alaska Troll","Alaska Troll",1988,217088,228657.32,316139.32
1,"Alaska Troll","Alaska Troll",1989,224182,236129.37,358982.53
1,"Alaska Troll","Alaska Troll",1990,263528,277572.19,395511.86
1,"Alaska Troll","Alaska Troll",1991,231803,244156.44,365072.39
1,"Alaska Troll","Alaska Troll",1992,162617,171283.36,277986.36
1,"Alaska Troll","Alaska Troll",1993,212350,223666.78,324310.91
1,"Alaska Troll","Alaska Troll",1994,177146,186586.61,288221.21
1,"Alaska Troll","Alaska Troll",1995,115072,121204.57,190093.01
1,"Alaska Troll","Alaska Troll",1996,107581,113314.28,180629.36
1,"Alaska Troll","Alaska Troll",1997,221944,233772.1,320325.8
1,"Alaska Troll","Alaska Troll",1998,183489,193267.69,246344.18
1,"Alaska Troll","Alaska Troll",1999,132741,139815.13,205633.13
1,"Alaska Troll","Alaska Troll",2000,133963,141102.26,201340.31
1,"Alaska Troll","Alaska Troll",2001,128692,135550.44,198886.55
1,"Alaska Troll","Alaska Troll",2002,298132,314020.37,426071.73
1,"Alaska Troll","Alaska Troll",2003,307380,323761.15,413727.11
1,"Alaska Troll","Alaska Troll",2004,321876,339029.78,442717.58
1,"Alaska Troll","Alaska Troll",2005,304891,321139.56,411522.35
1,"Alaska Troll","Alaska Troll",2006,263980,278048.27,358823.12
1,"Alaska Troll","Alaska Troll",2007,240472,253287.47,331577.19
1,"Alaska Troll","Alaska Troll",2008,126397,133133.02,192913.22
1,"Alaska Troll","Alaska Troll",2009,159166,167648.44,236582.94
1,"Alaska Troll","Alaska Troll",2010,178023,187510.43,264798.81
1,"Alaska Troll","Alaska Troll",2011,220371,232115.24,305268.42
1,"Alaska Troll","Alaska Troll",2012,191519,201725.64,277019.49
1,"Alaska Troll","Alaska Troll",2013,134600,141773.28,211163.52
1,"Alaska Troll","Alaska Troll",2014,340007,358126.98,467528.55
1,"Alaska Troll","Alaska Troll",2015,251088,264469.23,345096.33
1,"Alaska Troll","Alaska Troll",2016,266008,280184.39,358284.71
2,"Alaska Terminal Troll","Alaska Terminal Troll",1979,3809,1463.42,1493.88
2,"Alaska Terminal Troll","Alaska Terminal Troll",1980,2697,962.97,983.73
2,"Alaska Terminal Troll","Alaska Terminal Troll",1981,1805,795.74,815.22
2,"Alaska Terminal Troll","Alaska Terminal Troll",1982,869,851.64,874.57
2,"Alaska Terminal Troll","Alaska Terminal Troll",1983,525,264.96,271.33
2,"Alaska Terminal Troll","Alaska Terminal Troll",1984,767,399.12,409.29
2,"Alaska Terminal Troll","Alaska Terminal Troll",1985,1093,719.77,739.6
2,"Alaska Terminal Troll","Alaska Terminal Troll",1986,804,434.56,445.34
2,"Alaska Terminal Troll","Alaska Terminal Troll",1987,1352,697.06,712.02
2,"Alaska Terminal Troll","Alaska Terminal Troll",1988,778,458.06,467.94
2,"Alaska Terminal Troll","Alaska Terminal Troll",1989,743,386.03,394.91
2,"Alaska Terminal Troll","Alaska Terminal Troll",1990,678,413.59,421.98
2,"Alaska Terminal Troll","Alaska Terminal Troll",1991,1217,545.12,557.29
2,"Alaska Terminal Troll","Alaska Terminal Troll",1992,2302,1625.81,1667.83
2,"Alaska Terminal Troll","Alaska Terminal Troll",1993,1442,786.17,810.56
2,"Alaska Terminal Troll","Alaska Terminal Troll",1994,4216,2286.71,2356.19
2,"Alaska Terminal Troll","Alaska Terminal Troll",1995,10416,3757.66,3843.36
2,"Alaska Terminal Troll","Alaska Terminal Troll",1996,6478,3102.51,3162.99
2,"Alaska Terminal Troll","Alaska Terminal Troll",1997,4796,2122.02,2168.2
2,"Alaska Terminal Troll","Alaska Terminal Troll",1998,4315,2513.53,2576.52
2,"Alaska Terminal Troll","Alaska Terminal Troll",1999,5316,1847.33,1896.36
2,"Alaska Terminal Troll","Alaska Terminal Troll",2000,3444,1828.98,1878.2
2,"Alaska Terminal Troll","Alaska Terminal Troll",2001,2256,1256.06,1285.82
2,"Alaska Terminal Troll","Alaska Terminal Troll",2002,2303,1139.17,1162.93
2,"Alaska Terminal Troll","Alaska Terminal Troll",2003,4579,1878.83,1915.02
2,"Alaska Terminal Troll","Alaska Terminal Troll",2004,2677,1227.26,1250.06
2,"Alaska Terminal Troll","Alaska Terminal Troll",2005,1055,516.23,525.96
2,"Alaska Terminal Troll","Alaska Terminal Troll",2006,1000,487.8,496.13
2,"Alaska Terminal Troll","Alaska Terminal Troll",2007,1190,507.88,517.6
2,"Alaska Terminal Troll","Alaska Terminal Troll",2008,1041,817.51,835.66
2,"Alaska Terminal Troll","Alaska Terminal Troll",2009,1260,645.25,659.7
2,"Alaska Terminal Troll","Alaska Terminal Troll",2010,533,258.88,263.82
2,"Alaska Terminal Troll","Alaska Terminal Troll",2011,1041,478.4,486.49
2,"Alaska Terminal Troll","Alaska Terminal Troll",2012,811,550.49,561.17
2,"Alaska Terminal Troll","Alaska Terminal Troll",2013,482,219.26,223.8
2,"Alaska Terminal Troll","Alaska Terminal Troll",2014,1097,675.82,689.42
2,"Alaska Terminal Troll","Alaska Terminal Troll",2015,248,3027.44,3248.48
2,"Alaska Terminal Troll","Alaska Terminal Troll",2016,136,308087.28,332087.06
3,"North B.C. Troll","North B.C. Troll",1979,147576,169529.12,223178.21
3,"North B.C. Troll","North B.C. Troll",1980,157198,170325.86,221678.92
3,"North B.C. Troll","North B.C. Troll",1981,153065,169996.39,224961.71
3,"North B.C. Troll","North B.C. Troll",1982,173472,203715.05,268922.49
3,"North B.C. Troll","North B.C. Troll",1983,162837,219487.51,269214.72
3,"North B.C. Troll","North B.C. Troll",1984,185134,260538.02,317875.11
3,"North B.C. Troll","North B.C. Troll",1985,165845,202139.21,246678.23
3,"North B.C. Troll","North B.C. Troll",1986,175715,214169.21,264117.13
3,"North B.C. Troll","North B.C. Troll",1987,177457,216292.46,294174.56
3,"North B.C. Troll","North B.C. Troll",1988,152369,185714.04,251440.95
3,"North B.C. Troll","North B.C. Troll",1989,207679,253128.31,327159.95
3,"North B.C. Troll","North B.C. Troll",1990,154109,187834.86,258857.32
3,"North B.C. Troll","North B.C. Troll",1991,194018,236477.68,314665.73
3,"North B.C. Troll","North B.C. Troll",1992,142340,173490.25,242936.37
3,"North B.C. Troll","North B.C. Troll",1993,161686,197070,259142.36
3,"North B.C. Troll","North B.C. Troll",1994,164581,200598.52,255792.56
3,"North B.C. Troll","North B.C. Troll",1995,56857,69299.86,113527.98
3,"North B.C. Troll","North B.C. Troll",1996,8,0,0
3,"North B.C. Troll","North B.C. Troll",1997,83261,101482.17,126322.57
3,"North B.C. Troll","North B.C. Troll",1998,109072,132941.73,163495.37
3,"North B.C. Troll","North B.C. Troll",1999,54097,65935.8,82783.35
3,"North B.C. Troll","North B.C. Troll",2000,9948,12125.05,15638.52
3,"North B.C. Troll","North B.C. Troll",2001,12934,15764.54,20712.63
3,"North B.C. Troll","North B.C. Troll",2002,102731,125213.1,160885.42
3,"North B.C. Troll","North B.C. Troll",2003,140497,171243.89,213661.23
3,"North B.C. Troll","North B.C. Troll",2004,167508,204166.13,260447.01
3,"North B.C. Troll","North B.C. Troll",2005,174806,213061.27,265830.14
3,"North B.C. Troll","North B.C. Troll",2006,151485,184636.59,225827.08
3,"North B.C. Troll","North B.C. Troll",2007,83235,101450.5,125973.66
3,"North B.C. Troll","North B.C. Troll",2008,52147,63559.02,81587.67
3,"North B.C. Troll","North B.C. Troll",2009,75470,91986.14,118352.49
3,"North B.C. Troll","North B.C. Troll",2010,90213,109955.57,142076.77
3,"North B.C. Troll","North B.C. Troll",2011,74660,90998.86,120909.23
3,"North B.C. Troll","North B.C. Troll",2012,80257,97820.78,128502.34
3,"North B.C. Troll","North B.C. Troll",2013,69264,84422,116621.35
3,"North B.C. Troll","North B.C. Troll",2014,172001,209642.4,262014.62
3,"North B.C. Troll","North B.C. Troll",2015,106703,130054.3,163569.91
3,"North B.C. Troll","North B.C. Troll",2016,147381,179634.42,222107.14
4,"Central B.C. Troll","Central B.C. Troll",1979,109261,77050.15,100640.56
4,"Central B.C. Troll","Central B.C. Troll",1980,98059,69462.2,90258.24
4,"Central B.C. Troll","Central B.C. Troll",1981,78659,77023.98,101812.78
4,"Central B.C. Troll","Central B.C. Troll",1982,75767,91496.41,120203.13
4,"Central B.C. Troll","Central B.C. Troll",1983,105166,149491.51,182975.05
4,"Central B.C. Troll","Central B.C. Troll",1984,83862,97354.37,118617.23
4,"Central B.C. Troll","Central B.C. Troll",1985,28814,29394.95,35849.18
4,"Central B.C. Troll","Central B.C. Troll",1986,52559,53618.73,66283.2
4,"Central B.C. Troll","Central B.C. Troll",1987,64015,65305.67,88266.02
4,"Central B.C. Troll","Central B.C. Troll",1988,31103,31730.13,42004.09
4,"Central B.C. Troll","Central B.C. Troll",1989,19092,19476.91,25139.64
4,"Central B.C. Troll","Central B.C. Troll",1990,27313,27863.63,37526.57
4,"Central B.C. Troll","Central B.C. Troll",1991,27853,28414.53,37701.78
4,"Central B.C. Troll","Central B.C. Troll",1992,42311,43164.02,57820.18
4,"Central B.C. Troll","Central B.C. Troll",1993,24780,25279.61,34415.13
4,"Central B.C. Troll","Central B.C. Troll",1994,20155,20561.36,25714.06
4,"Central B.C. Troll","Central B.C. Troll",1995,4681,4775.41,7869.81
4,"Central B.C. Troll","Central B.C. Troll",1996,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",1997,10520,10732.11,13375.18
4,"Central B.C. Troll","Central B.C. Troll",1998,4317,4404.05,9569.26
4,"Central B.C. Troll","Central B.C. Troll",1999,2346,2393.34,2985.37
4,"Central B.C. Troll","Central B.C. Troll",2000,85,86.78,1151.7
4,"Central B.C. Troll","Central B.C. Troll",2001,453,462.12,1376.3
4,"Central B.C. Troll","Central B.C. Troll",2002,611,623.3,888.41
4,"Central B.C. Troll","Central B.C. Troll",2003,719,733.49,1231.94
4,"Central B.C. Troll","Central B.C. Troll",2004,316,322.42,1023.58
4,"Central B.C. Troll","Central B.C. Troll",2005,24,24.45,728.91
4,"Central B.C. Troll","Central B.C. Troll",2006,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2007,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2008,9,9.21,152.91
4,"Central B.C. Troll","Central B.C. Troll",2009,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2010,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2011,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2012,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2013,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2014,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2015,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2016,0,0,0
4,"Central B.C. Troll","Central B.C. Troll",2017,0,0,0
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1979,477222,389788.79,514593.51
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1980,486303,341537.06,449228.17
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1981,423266,323229.24,431065.33
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1982,538510,348183.44,462142.06
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1983,395636,457563.54,560590.19
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1984,471294,718711.85,877045.06
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1985,345937,319520.99,394269.84
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1986,350227,323483.46,400281.77
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1987,378931,349995.51,480454.05
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1988,408668,377461.82,519803.44
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1989,203751,188192.39,244103.94
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1990,297858,275113.32,354415.38
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1991,203035,187531.1,244243.13
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1992,340146,314172.17,408439.91
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1993,277033,255878.53,325324.28
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1994,150039,138581.94,174573.57
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1995,81454,75234.09,119880.7
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1996,4,0,0
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1997,52688,48664.71,66474.62
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1998,5140,0,0
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1999,7434,6866.31,7653.73
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2000,64547,59618.11,68208.12
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2001,79668,73584.53,83908.08
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2002,126383,116732.31,127400.21
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2003,146736,135531.1,149617.85
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2004,171166,158095.65,171833.65
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2005,148798,137435.68,150420.87
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2006,108978,100656.35,109259.2
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2007,92921,85825.47,96082.79
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2008,94704,87472.33,96864.97
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2009,58191,53747.49,61400.3
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2010,84123,77699.3,84567.31
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2011,129023,119170.72,133021.11
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2012,60530,55907.89,63890.12
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2013,49526,45744.15,50318.6
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2014,129204,119337.85,131221.51
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2015,68522,63289.61,68350.8
5,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2016,60831,56185.87,62022.03
6,"North of Falcon Troll","North of Falcon Troll",1979,140844,171800.05,217129.91
