"year","SSA","NSA","YAK","TBR","NBC","CBC","FS2","FS3","FS0","FSS","FHF","FCF","WVH","WVN","UGS","PPS","LGS","MGS","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","WCN","WSH","CWS","SUM","URB","SPR","BON","CWF","LRW","LYF","MCB","NOC","MOC"
1979,9092,2105,22411,78342,35710,7030,12712,30350,31745,17585,115627,649,80584,8780,6459,1040,11877,12427,84234,47270,25179,9506,1837,22153,1042,14264,26304,30516,45881,23101,22476,89023,98106,54782,57388,29672,2618,4140,115459,28481
1980,14490,2278,13952,113139,39209,7856,11185,22754,17636,17192,110794,639,105960,12407,3502,946,12989,9426,97939,53725,20873,9024,1797,27276,865,14684,26685,34367,58234,27592,21140,86839,105353,56429,56160,33572,2670,5357,98618,26750
1981,9614,2926,10085,101682,38426,8226,7736,18850,17905,18679,103202,603,83026,7946,4256,905,9111,5907,91159,54049,17613,9070,1398,24173,744,11371,23951,34716,68210,35364,18375,67204,79524,39396,46213,30149,2748,5876,112442,22272
1982,9723,2552,9932,55965,35199,10497,10110,21948,24224,23816,129000,545,157990,12374,6251,1100,6360,5998,97033,48717,18927,9971,790,22942,698,9899,20157,34274,65062,27797,14815,100227,122966,64667,65229,15950,2456,9265,103594,27529
1983,16392,2788,11772,39584,54911,10305,5691,29808,29640,21093,159947,808,115071,8301,6158,1144,8077,7811,92072,47761,19868,8565,450,16411,473,9982,15654,30391,55857,27927,14931,65269,25927,47972,61086,16195,1634,12642,80581,24371
1984,19447,2645,10145,54398,49971,11317,9658,38036,28403,21574,123123,1473,152853,10142,9928,792,5946,8111,115633,53514,20044,9174,427,14832,643,9534,16675,34467,88371,27462,15871,124382,45473,44021,45232,11171,1035,10550,152089,24771
1985,23223,3875,9387,68670,67521,17228,13741,48387,36783,25545,144783,1147,127696,8496,8939,643,7623,15995,124346,56620,23621,12602,536,27992,1204,8699,21459,41949,73090,18018,18493,231986,34228,51400,60987,14609,1825,8947,116447,26384
1986,25075,3796,13294,78802,74723,20453,15255,54933,41827,33380,182436,8859,76769,4970,13372,777,5437,13457,100121,59288,25499,13700,490,22660,1335,7351,30244,52327,71695,19639,19201,291528,15281,77404,116578,20512,2709,21948,102343,16702
1987,23594,6935,15064,87529,106227,17369,9572,55108,31400,30337,86629,16103,111570,10376,16886,1027,7651,9969,67368,78036,30733,14604,524,13170,1246,6557,42333,62967,94010,35136,21613,394522,11510,162395,172899,38415,2778,59313,164669,39179
1988,21729,6295,12176,84753,97437,15724,8371,47314,39431,30264,44776,16300,139058,12750,18512,1017,6174,6262,54072,94852,33681,14705,690,15327,918,6310,58782,81124,123776,30156,23881,375955,13217,87223,214712,35487,2924,92203,189404,45972
1989,14139,5567,10439,94676,104145,15742,10891,42155,52298,23861,87324,4651,170121,9653,22914,1006,7723,12594,71214,103021,35201,22083,675,12691,825,6456,56397,80522,118325,20768,19811,214231,24754,35653,89281,46887,2055,79452,92143,35939
1990,10416,8828,12480,96333,85648,15551,6297,42793,33777,31282,177469,4462,229625,8612,21016,1376,10181,11628,85174,88954,31545,26680,431,12562,1007,5015,50009,71127,112735,17715,18024,164277,20089,15345,35293,22718,997,51216,112100,30219
1991,10007,7860,12017,109853,77134,22072,12089,38967,55474,27763,94542,17226,295346,11862,10320,1265,11913,13355,49889,64943,27330,25437,458,7687,1221,3872,50170,60395,140491,16718,15276,104072,51757,30000,25472,17020,1227,34650,114712,41953
1992,7190,5603,11382,130238,87238,28983,12899,38515,47537,25233,126379,44881,243176,11760,7031,865,11272,9277,32052,50745,20602,16693,590,4757,891,3635,54566,55027,80217,22146,12116,74164,29112,38810,31467,10483,1401,28584,124564,41915
1993,10316,7768,13734,125763,66551,28192,21818,45885,35628,23627,128623,19791,278103,14554,4588,497,4375,7695,31798,55910,16157,9957,536,3566,712,3893,55383,52970,69316,17449,12622,94199,16651,23110,34865,14515,1252,34089,94285,40350
1994,9806,9678,18190,86430,93954,20822,21528,56080,47113,23715,112178,7382,153683,9004,5043,353,8184,8439,29242,74889,16067,10385,398,2880,794,3865,45458,46291,53519,9973,12968,129271,18783,18861,27501,10841,1179,32585,130578,34290
1995,7587,7238,27570,94694,42205,14562,27860,51014,48146,30396,35856,43440,78015,8117,4069,291,18236,7932,26397,92206,17101,12373,505,4035,906,4089,45046,47959,47018,4095,12854,111062,33336,14283,28621,20739,1225,31890,115873,63982
1996,8598,8015,25554,169013,94680,10419,33535,41782,93260,40443,48961,32816,111390,18697,5003,285,15881,9747,31224,92957,17855,12653,700,7486,1128,4518,51159,52697,37462,4766,15022,178439,36917,20867,67518,13553,1504,47776,117838,74196
1997,7667,7089,17630,125333,79196,11526,31463,39579,82118,41475,53305,64134,147854,24455,5857,279,11391,9171,40052,81432,17818,12506,722,9786,1218,3739,34315,38172,40998,4275,15440,158078,26334,20726,34434,13799,1284,58721,100854,30689
1998,7771,5155,13531,58924,70273,11971,11136,35356,77925,37656,198724,106130,142205,25163,7729,353,12086,9186,43070,92698,19625,13591,745,12207,1426,3046,23944,29615,53517,3861,16980,112350,24425,16553,21209,6816,1159,50459,81320,44235
1999,14180,4794,13353,58384,81573,15527,19485,28090,105543,27834,134431,75149,60327,12770,12119,533,8367,15591,42285,111197,21080,12562,1021,7650,1424,2843,18477,25978,51126,4238,21189,192627,46240,12615,27121,4404,1847,44297,69065,38558
2000,14982,6985,13800,96813,73177,15811,26067,29870,58207,30111,66394,81596,29480,7577,8872,930,9063,12829,42877,109357,21843,12133,1661,14357,1494,3861,21123,28341,54516,7342,28236,147393,16830,13975,24578,8086,4216,43496,96219,27008
2001,17848,6305,11276,136234,101753,19928,30846,35762,156786,31531,106973,75904,95607,18944,14039,1586,7869,29463,62907,120150,22041,13105,2609,16452,1495,6003,27782,35143,100443,5961,51006,257780,141066,53213,60602,13575,6679,67350,124951,56056
2002,16154,8535,8134,112329,93618,16868,34397,44146,85334,37092,115311,90721,151364,26198,11583,1479,7697,24161,58938,132119,20770,13403,3431,14306,1449,6916,31998,36854,130039,17818,74442,276167,144974,63362,64993,20299,6587,126099,154774,59462
2003,12616,4821,8601,113829,60615,10348,33545,50304,140063,49966,166380,64030,189212,24971,8829,1240,6998,23755,37027,132492,17185,13906,3161,14697,1312,7376,40832,46223,126613,24412,82446,371583,179044,44030,121640,20755,6426,152800,157625,65240
2004,15973,8508,10588,167644,83669,13742,45027,41210,91067,43505,183991,66078,239738,19131,12488,1446,5942,29183,21934,134065,14119,14370,2326,21235,1336,8413,40833,46528,154418,24805,75022,330437,172135,24933,62484,36384,6589,115179,134724,108706
2005,13654,6753,7187,192964,41491,13125,16521,30929,104502,28195,125288,54722,134614,9037,12093,2204,4832,29363,23193,146463,12682,14074,2017,21045,1234,6850,40469,42144,65892,17873,62254,273738,96689,17356,75749,10172,5732,86463,143190,33355
2006,14732,6987,3849,115746,54106,17262,15258,25639,231309,24005,63738,59871,188731,16544,12240,1995,4415,36823,35348,173682,13334,15491,1773,19503,1105,5729,39654,37781,71658,23914,61987,243724,28497,5900,42910,21983,5649,74248,88493,30077
2007,13537,3032,3695,67311,75108,11316,7418,19066,139356,17524,89774,32497,98635,9641,8093,1394,5088,17557,37730,179591,12888,13857,1663,12269,1015,4737,30935,29564,32385,12905,49280,111717,12409,9544,25060,6351,5335,58624,54987,19579
2008,12232,5793,3694,65175,50327,12061,16349,21973,110944,21854,50198,48029,90942,12803,8094,1168,5967,22891,34003,162259,13012,12491,1810,13795,1320,4876,32039,31097,33621,5722,53701,205554,81193,14051,44854,4689,5224,67950,31397,27347
2009,11954,4773,6384,60360,67060,13875,5539,27486,129314,25630,73305,25240,53515,8978,6978,1477,4184,19026,29606,136634,10441,9008,2098,12163,1137,3386,34489,30812,47565,7114,58037,213643,49015,10422,69403,7279,7401,72412,41015,41174
2010,11283,4660,10217,64700,68374,10418,12610,21295,191661,24186,108268,91560,111307,15516,9295,1567,4004,15286,38567,140220,8447,7987,2146,8111,933,2678,44104,38371,115820,11110,66538,274180,135169,22309,52214,11251,11907,72960,97738,94820
2011,10674,5413,8484,69395,50207,8070,8297,15561,126886,22210,133566,66107,131666,15684,7621,1177,8276,15964,40696,151913,7528,7239,1616,8970,1126,2358,48354,41277,84275,8814,71655,361391,67036,19579,123882,11638,15745,80976,88102,75827
2012,4715,2523,5549,68699,34660,11945,14817,15192,93273,16081,58277,24543,94344,13188,9426,873,7749,10354,40818,171215,8171,6125,1354,14481,1294,2754,47498,40585,68919,15074,64349,263149,59237,27993,60101,16093,19884,96554,77841,45159
2013,8683,3860,5240,65149,40784,19055,9846,21459,180401,15498,49563,68832,127301,17846,11892,869,5615,9832,37310,157637,8331,5220,1382,14665,948,2751,50480,40751,51280,11926,74478,788178,88718,20560,91583,16948,25297,183963,161863,65087
2014,8078,3986,5502,73658,49520,15532,28571,32152,154694,27894,67274,66417,122360,19818,7610,910,9232,22402,32097,115882,8365,5372,1363,12151,579,2481,46354,36305,58728,10260,79860,853827,119883,21874,86926,27691,24335,235260,156008,83253
2015,7628,3382,5328,73467,50898,17342,14547,26534,165962,28226,88294,43821,133579,25195,9394,616,10630,18983,23841,106821,8378,6017,1219,12556,493,2791,48698,40123,85842,26686,99811,616670,159092,21088,83632,32619,21029,172975,158617,102054
2016,4993,1949,269181,59957,33297,12979,11107,18365,78916,14540,53763,24008,144974,24189,5931,381,9487,9892,18431,106065,8594,7002,1302,15787,504,3666,40934,34241,50109,26456,91279,437908,56853,11715,70670,16660,16783,93575,158882,86463
2017,4829,2088,1131662,72521,20023,9751,8095,17902,59760,12048,92799,17588,116996,14098,1894,375,10171,9024,20949,104231,8610,6281,1413,17000,335,3497,48736,39682,38876,22700,88822,266286,159080,18857,53253,18284,13483,60317,126062,52989
2018,5286,2520,1651504,80209,20197,9704,16027,23050,65914,12668,99344,16834,113063,12746,1229,350,10188,10887,24233,100741,8913,6245,1426,16954,232,3248,55601,43829,42166,20679,99112,159384,176863,21536,57335,22376,12513,36606,93367,45879
