"FisheryNum","FisheryName","FisheryGroup","Year","Observed_Catch","Model_LCatch","Model_TM"
1,"Alaska Troll","Alaska Troll",1979,337672,220878.63,286992.82
1,"Alaska Troll","Alaska Troll",1980,303643,241617.48,311538.31
1,"Alaska Troll","Alaska Troll",1981,248782,220042.68,296716.35
1,"Alaska Troll","Alaska Troll",1982,241938,220708.3,328602.52
1,"Alaska Troll","Alaska Troll",1983,269821,259084.34,374768.09
1,"Alaska Troll","Alaska Troll",1984,235622,220428.34,324332.22
1,"Alaska Troll","Alaska Troll",1985,211933,178965.7,283037.99
1,"Alaska Troll","Alaska Troll",1986,231649,195614.79,290395.23
1,"Alaska Troll","Alaska Troll",1987,231051,195109.8,316000.3
1,"Alaska Troll","Alaska Troll",1988,217088,183318.87,253479.08
1,"Alaska Troll","Alaska Troll",1989,224182,189309.3,289025.45
1,"Alaska Troll","Alaska Troll",1990,263528,222534.85,316741.46
1,"Alaska Troll","Alaska Troll",1991,231803,195744.79,293236.75
1,"Alaska Troll","Alaska Troll",1992,162617,137321.07,223788.67
1,"Alaska Troll","Alaska Troll",1993,212350,179317.81,262239.58
1,"Alaska Troll","Alaska Troll",1994,177146,149589.97,231994.93
1,"Alaska Troll","Alaska Troll",1995,115072,97171.95,152400.91
1,"Alaska Troll","Alaska Troll",1996,107581,90846.22,146250.13
1,"Alaska Troll","Alaska Troll",1997,221944,187419.45,258040.08
1,"Alaska Troll","Alaska Troll",1998,183489,154946.34,198719.25
1,"Alaska Troll","Alaska Troll",1999,132741,112092.45,165048.99
1,"Alaska Troll","Alaska Troll",2000,133963,113124.37,160727.57
1,"Alaska Troll","Alaska Troll",2001,128692,108673.31,159688.01
1,"Alaska Troll","Alaska Troll",2002,298132,251756.01,340603.16
1,"Alaska Troll","Alaska Troll",2003,307380,259565.45,331361.7
1,"Alaska Troll","Alaska Troll",2004,321876,271806.47,356757.52
1,"Alaska Troll","Alaska Troll",2005,304891,257463.61,331925.47
1,"Alaska Troll","Alaska Troll",2006,263980,222916.55,289443.42
1,"Alaska Troll","Alaska Troll",2007,240472,203065.36,268173.56
1,"Alaska Troll","Alaska Troll",2008,126397,106735.27,154482.34
1,"Alaska Troll","Alaska Troll",2009,159166,134406.93,189171.07
1,"Alaska Troll","Alaska Troll",2010,178023,150330.59,212737.85
1,"Alaska Troll","Alaska Troll",2011,220371,186091.16,246227.93
1,"Alaska Troll","Alaska Troll",2012,191519,161727.25,222063.5
1,"Alaska Troll","Alaska Troll",2013,134600,113662.3,169511.24
1,"Alaska Troll","Alaska Troll",2014,340007,287117.16,376529.34
1,"Alaska Troll","Alaska Troll",2015,251088,212029.92,277680.23
1,"Alaska Troll","Alaska Troll",2016,266008,224629.08,290866.91
2,"North BC Troll","North BC Troll",1979,147576,130815.52,172169.83
2,"North BC Troll","North BC Troll",1980,157198,126432.2,165761.58
2,"North BC Troll","North BC Troll",1981,153065,120753.02,160922.04
2,"North BC Troll","North BC Troll",1982,173472,126647.73,168230.68
2,"North BC Troll","North BC Troll",1983,162837,163350.86,200596.74
2,"North BC Troll","North BC Troll",1984,185134,267965.19,326827.52
2,"North BC Troll","North BC Troll",1985,165845,158509.01,193123.41
2,"North BC Troll","North BC Troll",1986,175715,167942.45,206395.42
2,"North BC Troll","North BC Troll",1987,177457,169607.42,229860.4
2,"North BC Troll","North BC Troll",1988,152369,145629.12,197484.88
2,"North BC Troll","North BC Troll",1989,207679,198492.55,257630.98
2,"North BC Troll","North BC Troll",1990,154109,147292.15,202644.51
2,"North BC Troll","North BC Troll",1991,194018,185435.78,246947.06
2,"North BC Troll","North BC Troll",1992,142340,136043.7,191531.21
2,"North BC Troll","North BC Troll",1993,161686,154534.01,205318.66
2,"North BC Troll","North BC Troll",1994,164581,157300.94,201554.86
2,"North BC Troll","North BC Troll",1995,56857,54341.98,89119.54
2,"North BC Troll","North BC Troll",1996,8,7.63,2856.41
2,"North BC Troll","North BC Troll",1997,83261,79578.08,99516.53
2,"North BC Troll","North BC Troll",1998,109072,104247.35,128831.38
2,"North BC Troll","North BC Troll",1999,54097,51704.07,64936.13
2,"North BC Troll","North BC Troll",2000,9948,9507.95,12188.17
2,"North BC Troll","North BC Troll",2001,12934,12361.82,16138.17
2,"North BC Troll","North BC Troll",2002,102731,98186.85,125781.66
2,"North BC Troll","North BC Troll",2003,140497,134282.23,167295.93
2,"North BC Troll","North BC Troll",2004,167508,160098.44,205043.05
2,"North BC Troll","North BC Troll",2005,174806,167073.64,209450.09
2,"North BC Troll","North BC Troll",2006,151485,144784.23,178021.5
2,"North BC Troll","North BC Troll",2007,83235,79553.2,99428.17
2,"North BC Troll","North BC Troll",2008,52147,49840.34,63522
2,"North BC Troll","North BC Troll",2009,75470,72131.64,92650.69
2,"North BC Troll","North BC Troll",2010,90213,86222.54,111749.64
2,"North BC Troll","North BC Troll",2011,74660,71357.48,95116.02
2,"North BC Troll","North BC Troll",2012,80257,76706.9,100757.19
2,"North BC Troll","North BC Troll",2013,69264,66200.18,91586.51
2,"North BC Troll","North BC Troll",2014,172001,164392.71,206261.53
2,"North BC Troll","North BC Troll",2015,106703,101983.07,128815.47
2,"North BC Troll","North BC Troll",2016,147381,140861.75,175701.52
3,"Central BC Troll","Central BC Troll",1979,109261,97634.58,127583.41
3,"Central BC Troll","Central BC Troll",1980,98059,92464.57,120602.15
3,"Central BC Troll","Central BC Troll",1981,78659,92687.75,122738.17
3,"Central BC Troll","Central BC Troll",1982,75767,99159.68,130964.5
3,"Central BC Troll","Central BC Troll",1983,105166,106295.88,130351.41
3,"Central BC Troll","Central BC Troll",1984,83862,61129.97,74486.08
3,"Central BC Troll","Central BC Troll",1985,28814,28740.7,35018.02
3,"Central BC Troll","Central BC Troll",1986,52559,52425.27,64590.61
3,"Central BC Troll","Central BC Troll",1987,64015,63852.08,85919.63
3,"Central BC Troll","Central BC Troll",1988,31103,31023.87,41094.86
3,"Central BC Troll","Central BC Troll",1989,19092,19043.4,24620.68
3,"Central BC Troll","Central BC Troll",1990,27313,27243.52,36720.25
3,"Central BC Troll","Central BC Troll",1991,27853,27782.1,36969.15
3,"Central BC Troll","Central BC Troll",1992,42311,42203.36,56664.88
3,"Central BC Troll","Central BC Troll",1993,24780,24716.95,33916.58
3,"Central BC Troll","Central BC Troll",1994,20155,20103.66,25400.58
3,"Central BC Troll","Central BC Troll",1995,4681,4669.06,7754.33
3,"Central BC Troll","Central BC Troll",1996,0,0,0
3,"Central BC Troll","Central BC Troll",1997,10520,10493.26,13043.56
3,"Central BC Troll","Central BC Troll",1998,4317,4305.95,9504.14
3,"Central BC Troll","Central BC Troll",1999,2346,2339.99,2926.91
3,"Central BC Troll","Central BC Troll",2000,85,84.76,1096.3
3,"Central BC Troll","Central BC Troll",2001,453,451.87,1324.02
3,"Central BC Troll","Central BC Troll",2002,611,609.47,863.57
3,"Central BC Troll","Central BC Troll",2003,719,717.13,1209.19
3,"Central BC Troll","Central BC Troll",2004,316,315.23,1002.34
3,"Central BC Troll","Central BC Troll",2005,24,23.93,712.81
3,"Central BC Troll","Central BC Troll",2006,0,0,0
3,"Central BC Troll","Central BC Troll",2007,0,0,0
3,"Central BC Troll","Central BC Troll",2008,9,8.95,149.59
3,"Central BC Troll","Central BC Troll",2009,0,0,0
3,"Central BC Troll","Central BC Troll",2010,0,0,0
3,"Central BC Troll","Central BC Troll",2011,0,0,0
3,"Central BC Troll","Central BC Troll",2012,0,0,0
3,"Central BC Troll","Central BC Troll",2013,0,0,0
3,"Central BC Troll","Central BC Troll",2014,0,0,0
3,"Central BC Troll","Central BC Troll",2015,0,0,0
3,"Central BC Troll","Central BC Troll",2016,0,0,0
3,"Central BC Troll","Central BC Troll",2017,0,0,0
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1979,477222,339816.12,449051.09
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1980,486303,300432.51,396572.33
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1981,423266,288052.01,384978.24
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1982,538510,309696.57,413132.95
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1983,395636,469666.65,576270.18
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1984,471294,618140.91,754237.89
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1985,345937,288150.19,355239.61
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1986,350227,291723.58,360031.2
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1987,378931,315632.76,432010.34
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1988,408668,340402.42,468999.99
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1989,203751,169715.56,220385.48
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1990,297858,248102.51,319799.78
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1991,203035,169119.15,220728.75
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1992,340146,283326.64,368881.49
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1993,277033,230756.24,294838.49
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1994,150039,124975.84,158712.32
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1995,81454,67847.55,108830.02
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1996,4,3.37,45766.24
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1997,52688,43886.83,59844.46
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1998,5140,4281.41,4541.53
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",1999,7434,6192.19,6907.21
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2000,64547,53764.76,60971.96
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2001,79668,66359.92,75302.79
4,"West Coast Vancouver Island Troll","West Coast Vancouver Island Troll",2002,126383,105271.45,115068.06
