year,stock,fishery,age,preTerm catch,Term catch,preterm shakers,term shakers,preterm legal dropoffs,term legal dropoffs,preterm sublegal dropoffs,term sublegal dropoffs,preterm CNRlegal,term CNRlegal,preterm CNRlegal dropoffs,term CNRlegal dropoffs,preterm CNRsublegal,term CNRsublegal,preterm CNRsublegal dropoffs,term CNRsublegal dropoffs
1979,1,1,2,2.99,0,188.75,0,0.02,0,5.92,0,0,0,0,0,0,0,0,0
1979,1,1,3,2437.1,0,128.17,0,19.5,0,4.02,0,0,0,0,0,0,0,0,0
1979,1,1,4,3431.32,0,3.42,0,27.45,0,0.11,0,0,0,0,0,0,0,0,0
1979,1,1,5,691.6,0,0.25,0,5.53,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,121.12,0,0,0,8.07,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,73.49,0,0,0,4.9,0,0,0,0,0,0,0,0,0
1979,1,4,4,8.13,0,7.75,0,0.14,0,0.52,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0.41,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,2.72,0,89.28,0,0.02,0,2.8,0,0,0,0,0,0,0,0,0
1979,2,1,3,213.48,0,40.48,0,1.71,0,1.27,0,0,0,0,0,0,0,0,0
1979,2,1,4,1744.89,0,1.16,0,13.96,0,0.04,0,0,0,0,0,0,0,0,0
1979,2,1,5,888.23,0,0.12,0,7.11,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
