"year","SSA","NSA","YAK","TBR","NBC","CBC","FS2","FS3","FS0","FSS","FHF","FCF","WVH","WVN","UGS","PPS","LGS","MGS","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","WCN","WSH","CWS","SUM","URB","SPR","BON","CWF","LRW","LYF","MCB","NOC","MOC"
1979,9093,2105,20086,73478,31844,5413,2972,15240,21560,12202,111986,509,35499,46005,5983,1040,11179,12283,38092,27862,13376,6172,1782,17581,996,13922,15969,21837,34819,11739,15650,38341,18055,40943,40573,22686,500,3079,71400,20256
1980,14490,2278,12479,105307,34912,6053,5869,14876,15986,12403,107375,502,33815,48880,3942,946,12242,9303,44274,31510,11063,5987,1742,21375,828,14368,16337,24586,45351,14007,11468,37715,34777,41630,40174,26239,466,4218,61157,18951
1981,9614,2926,8986,95338,34157,6348,3497,13173,16827,13593,100030,469,34657,45593,4861,905,8588,5817,40866,30717,9814,6027,1351,19065,710,11121,14705,24850,53885,17998,7649,27298,19157,29280,33094,23558,351,4543,69109,15748
1982,9722,2553,8761,51827,31432,8298,5149,15007,7832,10309,111772,501,56098,77631,5257,1100,6003,5918,44191,28536,11020,6772,765,17953,668,9667,13527,23677,32200,15884,7340,44125,36232,41080,37862,13883,507,6048,64219,19770
1983,16392,2788,11106,34210,49613,7847,2859,21895,20943,15252,146351,750,32329,50739,5671,1144,7787,7699,42634,27686,9995,5804,435,13046,453,9754,12730,18963,26018,13693,8298,32045,10614,39676,51973,14300,485,8458,67050,21492
1984,19457,2646,9399,51063,45699,9105,6387,31540,15322,12647,115312,1318,32735,59140,8573,792,5687,8015,55623,29766,9578,5904,414,12984,608,9318,13346,23174,48265,13407,10318,57951,10040,27248,28261,7500,602,5700,128392,20996
1985,23268,3888,8492,64450,60129,15352,9392,41358,22157,17215,143998,917,54060,73241,9276,644,7126,15826,59192,30985,11635,7708,520,22564,1152,8520,15393,37245,39582,10687,13464,136623,7673,41978,50056,11700,488,6249,96135,25450
1986,25057,3797,12718,73190,68492,17042,10031,50352,28348,25403,170823,8071,32639,43111,13374,777,5016,13255,47515,33368,13127,8302,475,19426,1281,7205,23366,36452,37152,10923,16151,136453,3466,41592,79268,13713,144,10017,76385,14115
1987,23570,6939,13939,80877,98373,15426,5207,49929,26796,25783,75648,14656,54595,70063,14637,1024,7118,9810,31434,44173,16640,7955,509,11017,1200,6430,35793,48278,50741,18219,16735,126285,5594,61830,56487,22594,537,17703,129913,34465
1988,21732,6289,11402,79769,90814,14151,4202,44587,32734,26248,39177,14380,60109,76114,18290,1016,5877,6188,25724,50280,18847,8389,670,13138,881,6172,41360,52446,64580,19094,15996,161311,5411,16369,96064,16577,89,29844,153371,38409
1989,14102,5540,9733,87122,95726,14505,5850,35740,40557,19179,85784,4379,60330,81168,23996,1005,7236,12434,35019,57296,18864,14381,654,9850,790,6327,41268,60587,62037,8725,13573,65714,4923,25468,59869,36153,260,20316,59285,31236
1990,10417,8819,11366,87885,79441,13038,3442,37327,20984,23481,181663,4283,91772,120799,19683,1377,9732,11519,43135,48415,15172,15684,418,11143,962,4919,36099,42370,44090,6589,12975,72209,10783,12396,26993,20154,348,15958,82032,26539
1991,10024,7893,10949,100205,70133,19575,3655,32943,47274,21749,84129,15658,97488,133856,12095,1265,11402,13227,24333,34732,15601,13471,445,6294,1177,3800,34577,39605,74643,6109,8658,56166,22140,23679,15827,8752,151,19006,79405,37155
1992,7183,5577,9674,121046,80679,25582,5989,32714,42543,22286,122492,40511,107298,135085,7964,865,10837,9171,15958,29090,11761,8614,574,4112,861,3566,34857,34567,43112,13053,8957,47776,11286,32220,25001,8628,615,15270,92024,37044
1993,10324,7770,12861,115474,61462,25937,8082,36262,27903,18152,123550,17915,117874,145597,4937,498,4212,7637,16039,33220,9084,5544,520,3094,688,3828,38492,37697,30538,5953,9350,56013,8757,19001,28652,10607,599,21452,59440,32748
1994,9823,9703,15707,77533,87633,18337,9994,45683,35243,19405,110037,6769,68244,81868,4548,354,7893,8364,14352,45073,8456,6643,387,2599,768,3802,31747,28685,28085,5788,8209,90824,12175,18481,27213,9824,528,26512,106214,30433
1995,7575,7242,23218,85344,37965,13227,10893,45884,35798,24795,29515,41582,34123,41347,3698,291,17567,7841,13277,56564,10569,8229,491,3448,870,4009,31512,33200,23168,1878,9496,81207,11657,13438,26870,17334,334,24449,84832,54297
1996,8603,7998,21683,158048,86685,9496,20195,38398,78177,34300,44811,31116,66642,68061,4187,284,15221,9638,16034,56524,10547,7987,679,6929,1085,4436,34120,36314,17864,4125,11712,110533,13962,18372,59698,12954,541,27538,81114,64583
1997,7642,7036,15306,114690,72871,10631,9481,34481,53273,32470,51925,60113,88907,93247,4774,279,11112,9084,20488,52972,12662,8452,700,8468,1176,3681,26444,32290,30748,3369,9668,86021,12822,17653,29760,11985,664,40182,76680,26155
1998,7804,5208,10925,54863,66933,10542,3283,26925,63902,32187,211829,97873,79163,90185,6259,354,11565,9115,22078,62803,13058,9327,725,11272,1380,2999,19271,22080,33652,3624,10634,57636,9880,14036,17682,6316,754,39578,63451,36879
1999,14201,4822,11432,50958,76846,14340,9005,23220,93242,21618,122466,67294,21792,30263,11034,533,8105,15391,21547,68913,14381,7811,993,6714,1374,2792,16534,21863,26689,3174,14622,107298,14322,10552,20182,4372,693,28984,51103,32136
2000,14965,6970,11919,88541,68242,14619,11662,21244,45804,25557,66704,77632,18132,17282,9281,931,8831,12689,21703,65718,12713,7514,1616,13388,1442,3780,17553,23302,35426,5058,18183,69692,9298,12880,21204,7627,2476,32359,78961,21632
2001,17836,6298,9870,129243,93142,18462,10302,25372,137187,29726,100227,67745,73758,43972,15657,1584,7487,29187,32462,74169,12267,8047,2537,15062,1444,5892,23170,28634,76346,2843,41859,142413,55014,48174,52503,11522,1779,39623,94579,47077
2002,16127,8516,6937,105040,87550,15660,17487,36236,64573,32695,117476,73849,110020,71659,12707,1479,7151,23935,30371,79379,11906,7971,3329,13078,1404,6803,25915,26677,87026,13234,58140,152661,60167,52968,48378,15249,4418,81585,122116,47793
2003,12652,4850,6690,106542,57563,9663,18680,40709,118686,42991,171110,59621,123203,87672,8799,1242,6657,23611,18596,74053,11081,7652,3070,13411,1268,7251,34417,36511,88501,17981,58744,196720,84447,38163,102036,12539,3291,95777,116081,47916
2004,15988,8539,9267,149953,79010,12698,11676,31583,71002,31717,179035,60173,129933,107863,11493,1447,5696,28918,11014,81813,9109,8685,2257,19631,1291,8282,35982,41882,107471,16121,44641,161689,81844,19518,42833,30437,2628,73708,77660,91996
2005,13646,6742,6601,90217,39697,11987,4022,23061,85955,24195,111461,49459,52778,59637,11879,2203,4462,29086,11853,84105,7732,7810,1957,18618,1191,6733,34949,37924,46891,11909,37240,146671,31433,14932,57531,5642,3310,53783,110990,25587
2006,14791,6996,3377,56979,51255,15833,6000,18412,180751,20876,58514,50632,91090,98972,13156,1996,4141,36568,18217,99245,8535,8748,1721,17547,1070,5638,33748,32484,51051,17366,42753,117812,12193,4451,28310,16742,2070,44731,50597,19661
2007,13439,2981,3236,41485,71306,10185,2436,15634,109588,14833,87790,30434,28822,41991,9217,1395,4887,17231,19333,97633,7166,7066,1611,10669,974,4641,26892,23446,20384,4760,28803,68211,9472,8582,18253,5910,2043,37185,31782,13798
2008,12232,5795,3050,48878,48260,11285,5798,16965,119579,17417,45325,43201,42414,53308,8099,1166,5627,22735,17268,86726,6821,5955,1754,11845,1273,4793,28863,25365,26888,3727,33846,119408,22775,11476,36445,3906,2453,32949,22689,22931
2009,12022,4838,5721,49292,65064,12720,1130,18245,98516,20082,75409,22890,19932,28813,8032,1477,3875,18867,15074,73669,6045,4209,2040,9518,1102,3331,30139,25621,42315,4542,35143,119158,27642,8258,50360,6604,2943,39463,31494,35857
2010,11206,4577,9772,56000,65866,9717,6226,18514,146361,21078,94540,82881,62415,72960,8091,1565,3739,15112,19905,79639,5619,4303,2076,7006,900,2633,38062,27528,95155,7244,45390,161888,63432,18112,28361,10974,7324,42098,76707,70936
2011,10697,5447,7871,57538,48880,7259,2474,12353,97488,16868,134899,60554,48940,69308,8136,1179,7994,15845,20812,82833,4825,3517,1569,7245,1085,2317,38959,33095,71794,5938,48443,201169,28367,14244,95975,8531,8709,53374,56429,55689
2012,4721,2520,4967,51520,33675,11093,7032,12483,95558,13173,50593,22529,39725,51510,11398,874,7150,10246,20823,90793,5203,2834,1313,12894,1253,2702,38959,30471,56705,8236,46955,176287,34747,22344,42272,14310,14433,78835,49210,27754
2013,8693,3875,4999,48724,39638,17610,4698,19028,142260,13764,46146,63244,62570,79159,10937,868,5410,9744,19096,83386,5875,2653,1343,12758,921,2708,39418,29449,44337,7516,52168,472628,47002,17549,62775,10149,14648,108514,110386,42614
2014,7993,3921,5031,63368,47992,14497,27265,25475,79472,24269,62562,58447,48625,70309,5962,911,8903,22242,16392,68057,6007,3257,1324,10620,561,2443,36845,27838,48611,6527,58983,584933,48489,16862,66342,24853,16987,137097,107213,59446
2015,7344,3484,6828,66638,48970,16034,15690,29916,110468,31188,85178,39158,78618,101347,8576,615,10439,18790,12141,61463,6137,3498,1181,11253,475,2738,43204,27484,77486,18908,62946,329997,59546,17882,63585,27401,13592,108185,85240,64720
