"year","SSA","NSA","YAK","TBR","NBC","CBC","FS2","FS3","FS0","FSS","FHF","FCF","WVH","WVN","UGS","PPS","LGS","MGS","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","WCN","WSH","CWS","SUM","URB","SPR","BON","CWF","LRW","LYF","MCB","NOC","MOC"
1979,9093,2105,22411,78342,35710,7030,3664,24303,27200,16716,115623,649,41760,51777,5983,1040,11876,12427,84234,47270,25179,9506,1837,22154,1042,14264,26303,30515,45880,23101,22476,89022,98104,54781,57386,29672,2618,4139,115457,28481
1980,14490,2278,13952,113139,39209,7856,7188,24388,19814,16970,110784,639,52121,65448,3942,946,12989,9426,97938,53725,20872,9024,1797,27276,865,14684,26685,34367,58234,27592,21139,86839,105354,56430,56161,33572,2670,5357,98617,26750
1981,9614,2926,10085,101682,38426,8226,4355,21570,20592,18433,103206,603,41511,51999,4861,905,9111,5907,91160,54050,17613,9070,1398,24173,744,11371,23951,34716,68210,35364,18375,67204,79524,39396,46213,30149,2748,5876,112438,22272
1982,9722,2553,9932,55965,35199,10497,12348,22429,25255,23397,129009,545,76832,96593,5257,1100,6360,5998,97033,48717,18927,9972,790,22942,698,9899,20158,34274,65063,27797,14815,100228,122967,64668,65229,15950,2456,9265,103558,27530
1983,16392,2788,11772,39582,54910,10305,5075,29725,29692,20329,160957,809,52504,69947,5671,1144,8077,7811,92074,47760,19866,8565,450,16411,473,9982,15646,30375,55857,27927,14928,65249,25927,47972,61081,16194,1634,12641,80460,24365
1984,19457,2646,10145,54417,49982,11320,8040,37912,32982,21034,126295,1470,67758,92742,8573,792,5916,8110,115585,53488,20030,9163,426,14828,642,9532,16708,34536,88370,27460,15871,124424,45456,44004,45195,11173,1035,10550,151794,24734
1985,23268,3888,9387,68717,67654,17251,11516,48287,35485,25136,149195,1155,58806,78154,9276,644,7684,16064,124440,56694,23661,12641,536,28003,1206,8703,21611,42248,73093,18021,18578,232592,34252,51443,61122,14629,1827,8975,116372,26260
1986,25057,3797,13294,78785,74761,20454,12483,55984,38889,32937,188243,8890,34496,44838,13374,777,5435,13437,100107,59276,25500,13696,490,22656,1334,7349,30151,52111,71695,19638,19145,291210,15278,77407,116577,20497,2706,21952,101615,16567
1987,23570,6939,15064,87508,106245,17381,7259,57887,35095,29805,77905,16101,55551,71140,14637,1024,7642,9925,67334,78025,30723,14588,524,13167,1245,6556,42345,62962,94008,35136,21622,394542,11509,162401,173185,38430,2776,59345,163812,38983
1988,21732,6289,12176,84754,97481,15718,5750,50369,39676,29836,41611,16262,68923,84561,18290,1016,6148,6257,54037,94754,33629,14669,689,15323,916,6306,58645,80931,123774,30152,23832,375615,13202,87169,214230,35474,2915,92136,187975,45839
1989,14102,5540,10439,94548,104039,15723,8518,44540,52188,23554,87433,4660,83428,101255,23996,1005,7701,12563,71174,102987,35170,22090,675,12689,825,6457,56246,80297,118324,20768,19776,214007,24754,35651,89197,46865,2053,79384,91163,35903
1990,10417,8819,12480,96327,85590,15525,5042,43790,33801,30863,184982,4469,109171,137200,19683,1377,10287,11661,85229,89005,31567,26679,431,12562,1007,5016,50074,71235,112734,17716,18021,164369,20097,15360,35409,22726,999,51245,110752,30187
1991,10024,7893,12017,110019,77152,22046,7468,42037,55554,26998,86440,17254,133561,168279,12095,1265,11856,13350,49889,64971,27349,25458,457,7689,1222,3873,50263,60548,140493,16719,15324,104213,51759,29991,25485,17030,1227,34698,113361,41970
1992,7183,5577,11382,130067,87141,28930,9888,39362,47434,24591,124769,44838,114203,141298,7964,865,11248,9270,32055,50708,20594,16676,590,4757,891,3634,54303,54780,80217,22142,12063,73926,29097,38791,31419,10462,1399,28512,122546,41833
1993,10324,7770,13734,125882,66461,28173,14418,47015,35669,23192,125945,19816,136380,162334,4937,498,4390,7709,31801,55931,16170,9976,536,3567,713,3894,55444,53015,69318,17449,12625,94270,16664,23134,34894,14531,1253,34118,93783,40378
1994,9823,9703,18190,86507,93994,20832,16602,56205,47265,23164,112526,7383,70392,83666,4548,354,8239,8452,29269,74967,16096,10397,399,2881,795,3868,45667,46489,53521,9975,12986,129363,18788,18873,27572,10831,1181,32607,131532,34453
1995,7575,7242,27570,94780,42232,14567,17408,54062,48153,29529,30030,43441,34622,41780,3698,291,18238,7917,26388,92196,17104,12375,505,4036,906,4089,45032,47947,47018,4097,12874,111122,33337,14281,28620,20742,1226,31899,120194,65307
1996,8603,7998,25554,169037,94644,10413,28994,45384,93054,39172,45482,32756,67608,68939,4187,284,15784,9731,31201,92871,17830,12620,699,7484,1126,4515,50939,52458,37460,4766,14960,178146,36894,20855,67325,13548,1501,47668,125474,76642
1997,7642,7036,17630,125081,79123,11514,19406,42425,82081,40443,53732,64166,90271,94459,4774,279,11407,9164,40052,81452,17817,12521,722,9785,1218,3740,34261,38087,40997,4275,15383,158002,26354,20734,34582,13796,1283,58642,107488,31865
1998,7804,5208,13531,59084,70348,11977,9352,38644,78216,36705,213634,106176,80214,91072,6259,354,12137,9209,43106,92758,19644,13608,746,12208,1427,3048,24148,29822,53518,3861,17021,112578,24435,16559,21247,6831,1160,50600,85967,46102
