"FisheryNum","FisheryName","FisheryGroup","Year","Observed_Catch","Model_LCatch","Model_TM"
1,"Alaska Troll","Alaska Troll",1979,337672,224364.79,294999.86
1,"Alaska Troll","Alaska Troll",1980,303643,263089.96,340530.95
1,"Alaska Troll","Alaska Troll",1981,248782,234975.2,325981.34
1,"Alaska Troll","Alaska Troll",1982,241938,227421.75,351344.56
1,"Alaska Troll","Alaska Troll",1983,269821,291035.05,400466.91
1,"Alaska Troll","Alaska Troll",1984,235622,200291.41,299201.25
1,"Alaska Troll","Alaska Troll",1985,211933,186526.61,299756.28
1,"Alaska Troll","Alaska Troll",1986,231649,203879.12,303998.79
1,"Alaska Troll","Alaska Troll",1987,231051,203352.69,332713.87
1,"Alaska Troll","Alaska Troll",1988,217088,191063.6,266552.59
1,"Alaska Troll","Alaska Troll",1989,224182,197307.18,304778.75
1,"Alaska Troll","Alaska Troll",1990,263528,231936.37,333610.83
1,"Alaska Troll","Alaska Troll",1991,231803,204014.57,310888.44
1,"Alaska Troll","Alaska Troll",1992,162617,143122.61,234100.08
1,"Alaska Troll","Alaska Troll",1993,212350,186893.58,272257.7
1,"Alaska Troll","Alaska Troll",1994,177146,155909.88,242074.01
1,"Alaska Troll","Alaska Troll",1995,115072,101277.18,159328.15
1,"Alaska Troll","Alaska Troll",1996,107581,94684.23,150668.57
1,"Alaska Troll","Alaska Troll",1997,221944,195337.52,269396.88
1,"Alaska Troll","Alaska Troll",1998,183489,161492.4,205392.39
1,"Alaska Troll","Alaska Troll",1999,132741,116828.15,171784.89
1,"Alaska Troll","Alaska Troll",2000,133963,117903.6,167975.05
1,"Alaska Troll","Alaska Troll",2001,128692,113264.5,166086.52
1,"Alaska Troll","Alaska Troll",2002,298132,262392.11,355481.69
1,"Alaska Troll","Alaska Troll",2003,307380,270531.44,361027.53
1,"Alaska Troll","Alaska Troll",2004,321876,283289.67,350726.89
1,"Alaska Troll","Alaska Troll",2005,304891,268340.82,347641.94
1,"Alaska Troll","Alaska Troll",2006,263980,232334.2,291338.1
1,"Alaska Troll","Alaska Troll",2007,240472,211644.35,277351.78
1,"Alaska Troll","Alaska Troll",2008,126397,111244.55,161460.31
1,"Alaska Troll","Alaska Troll",2009,159166,140085.22,197596.73
1,"Alaska Troll","Alaska Troll",2010,178023,156681.7,222970.24
1,"Alaska Troll","Alaska Troll",2011,220371,193953.04,255168.9
1,"Alaska Troll","Alaska Troll",2012,191519,168559.81,231652.15
1,"Alaska Troll","Alaska Troll",2013,134600,118464.22,176744.62
1,"Alaska Troll","Alaska Troll",2014,340007,299247.16,405075.21
1,"Alaska Troll","Alaska Troll",2015,251088,220987.69,310341.38
1,"Alaska Troll","Alaska Troll",2016,266008,234119.11,307189.77
2,"Alaska Terminal Troll","Alaska Terminal Troll",1979,100,1463.84,1529.42
2,"Alaska Terminal Troll","Alaska Terminal Troll",1980,100,963.5,1007.43
2,"Alaska Terminal Troll","Alaska Terminal Troll",1981,100,798.8,840.94
2,"Alaska Terminal Troll","Alaska Terminal Troll",1982,100,861.19,912.99
2,"Alaska Terminal Troll","Alaska Terminal Troll",1983,0,474.15,498.52
2,"Alaska Terminal Troll","Alaska Terminal Troll",1984,0,663.6,700.97
2,"Alaska Terminal Troll","Alaska Terminal Troll",1985,0,929.9,990.64
2,"Alaska Terminal Troll","Alaska Terminal Troll",1986,0,1175.55,1243.15
2,"Alaska Terminal Troll","Alaska Terminal Troll",1987,0,1142.61,1196.38
2,"Alaska Terminal Troll","Alaska Terminal Troll",1988,0,943.43,987.57
2,"Alaska Terminal Troll","Alaska Terminal Troll",1989,0,930.61,980.16
2,"Alaska Terminal Troll","Alaska Terminal Troll",1990,0,999.11,1042.08
2,"Alaska Terminal Troll","Alaska Terminal Troll",1991,0,948,994.46
2,"Alaska Terminal Troll","Alaska Terminal Troll",1992,0,999.37,1059.17
2,"Alaska Terminal Troll","Alaska Terminal Troll",1993,0,1261.9,1345.29
2,"Alaska Terminal Troll","Alaska Terminal Troll",1994,0,1735,1862.66
2,"Alaska Terminal Troll","Alaska Terminal Troll",1995,0,2028.2,2123.19
2,"Alaska Terminal Troll","Alaska Terminal Troll",1996,0,1643.18,1713.82
2,"Alaska Terminal Troll","Alaska Terminal Troll",1997,0,1180.99,1234.7
2,"Alaska Terminal Troll","Alaska Terminal Troll",1998,0,1006.19,1064.1
2,"Alaska Terminal Troll","Alaska Terminal Troll",1999,0,1023.96,1085.77
2,"Alaska Terminal Troll","Alaska Terminal Troll",2000,0,958.63,1019.63
2,"Alaska Terminal Troll","Alaska Terminal Troll",2001,0,749.26,789.37
2,"Alaska Terminal Troll","Alaska Terminal Troll",2002,0,633.02,661.1
2,"Alaska Terminal Troll","Alaska Terminal Troll",2003,0,716.34,746.75
2,"Alaska Terminal Troll","Alaska Terminal Troll",2004,0,689.2,718.31
2,"Alaska Terminal Troll","Alaska Terminal Troll",2005,2812,439.79,459.77
2,"Alaska Terminal Troll","Alaska Terminal Troll",2006,1261,297.93,309.54
2,"Alaska Terminal Troll","Alaska Terminal Troll",2007,1422,291.4,304.62
2,"Alaska Terminal Troll","Alaska Terminal Troll",2008,796,397.48,418.87
2,"Alaska Terminal Troll","Alaska Terminal Troll",2009,23,665.34,702.26
2,"Alaska Terminal Troll","Alaska Terminal Troll",2010,379,780.61,814.58
2,"Alaska Terminal Troll","Alaska Terminal Troll",2011,196,590.04,611.65
2,"Alaska Terminal Troll","Alaska Terminal Troll",2012,325,445.34,464.6
2,"Alaska Terminal Troll","Alaska Terminal Troll",2013,239,453.01,474.86
2,"Alaska Terminal Troll","Alaska Terminal Troll",2014,736,533.33,558.75
2,"Alaska Terminal Troll","Alaska Terminal Troll",2015,216,657.56,681.67
2,"Alaska Terminal Troll","Alaska Terminal Troll",2016,216,721.2,748.75
