"","Fishery","Year","Observed_New","Model_New","Observed_Old","Model_Old"
"1","Total Catch",1979,NA,2307922.1,2993482,2622989.39
"2","Total Catch",1980,NA,2233256,2874404,2476998.1
"3","Total Catch",1981,NA,2198073.56,2434026,2357376.27
"4","Total Catch",1982,NA,2501886.9,2596592,2386928.91
"5","Total Catch",1983,NA,2543559.38,2128823,2211425.49
"6","Total Catch",1984,NA,2975959.03,2359119,2635202.24
"7","Total Catch",1985,NA,2070642.05,2051074,1983905.43
"8","Total Catch",1986,NA,2256037.96,2154780,2099514.34
"9","Total Catch",1987,NA,2490526.29,2310820,2149246.7
"10","Total Catch",1988,NA,2448502.84,2274589,2069878.94
"11","Total Catch",1989,NA,2238564.89,2067422,1887390.23
"12","Total Catch",1990,NA,2116719.3,1932198,1779265.68
"13","Total Catch",1991,NA,1944235.33,1674291,1654483.54
"14","Total Catch",1992,NA,1703401.77,1553147,1528728.27
"15","Total Catch",1993,NA,1686757.71,1514155,1462679.5
"16","Total Catch",1994,NA,1224512.75,1061448,1067908.38
"17","Total Catch",1995,NA,921738.31,774365,785440.98
"18","Total Catch",1996,NA,795026.44,682110,712324.83
"19","Total Catch",1997,NA,1134052.8,952602,959888.52
"20","Total Catch",1998,NA,942295.29,695297,736360.61
"21","Total Catch",1999,NA,939456.78,755593,775018.41
"22","Total Catch",2000,NA,777727.45,726860,665532.58
"23","Total Catch",2001,NA,1103502.45,1149760,976675.49
"24","Total Catch",2002,NA,1696630.61,1553765,1388255.9
"25","Total Catch",2003,NA,1799481.79,1558171,1478237.71
"26","Total Catch",2004,NA,1937040,1705888,1655641.72
"27","Total Catch",2005,NA,1817155.03,1527340,1573526.55
"28","Total Catch",2006,NA,1514481.73,1329005,1416468.22
"29","Total Catch",2007,NA,1237180.48,1123017,1138820.82
"30","Total Catch",2008,NA,993420.47,1004525,957679.61
"31","Total Catch",2009,NA,1096056.16,1011586,1051287.2
"32","Total Catch",2010,NA,1288845.26,1324901,1306168.53
"33","Total Catch",2011,NA,1511715.34,1479157,1527913.43
"34","Total Catch",2012,NA,1294001.47,1324139,1207723.69
"35","Total Catch",2013,NA,1507814.64,1382439,1504102.96
"36","Total Catch",2014,NA,2071976.65,1933872,2157284.12
"37","Total Catch",2015,NA,1884731.21,1787772,1787418.64
"38","Total Catch",2016,NA,1473131.9,1535065,1441220.17
"39","Total Pre-Terminal Catch",1979,2942419,2010374.34,2777226,2386338
"40","Total Pre-Terminal Catch",1980,2729763,1931728.01,2710220,2229554.87
