"","Fishery","Year","Observed_New","Model_New","Observed_Old","Model_Old"
"1","Total Catch",1979,NA,2291227.31,2993482,2622989.39
"2","Total Catch",1980,NA,2185728.28,2874404,2476998.1
"3","Total Catch",1981,NA,2151553.7,2434026,2357376.27
"4","Total Catch",1982,NA,2428131.08,2596592,2386928.91
"5","Total Catch",1983,NA,2466719.55,2128823,2211425.49
"6","Total Catch",1984,NA,2885222.47,2359119,2635202.24
"7","Total Catch",1985,NA,2020573.35,2051074,1983905.43
"8","Total Catch",1986,NA,2225176.93,2154780,2099514.34
"9","Total Catch",1987,NA,2423161.98,2310820,2149246.7
"10","Total Catch",1988,NA,2384340.83,2274589,2069878.94
"11","Total Catch",1989,NA,2139268.66,2067422,1887390.23
"12","Total Catch",1990,NA,2001465.7,1932198,1779265.68
"13","Total Catch",1991,NA,1794584.27,1674291,1654483.54
"14","Total Catch",1992,NA,1630590.26,1553147,1528728.27
"15","Total Catch",1993,NA,1582614.91,1514155,1462679.5
"16","Total Catch",1994,NA,1149249.79,1061448,1067908.38
"17","Total Catch",1995,NA,886366.57,774365,785440.98
"18","Total Catch",1996,NA,775057.39,682110,712324.83
"19","Total Catch",1997,NA,1065413.16,952602,959888.52
"20","Total Catch",1998,NA,860224.65,695297,736360.61
"21","Total Catch",1999,NA,868902.4,755593,775018.41
"22","Total Catch",2000,NA,763543.81,726860,665532.58
"23","Total Catch",2001,NA,1085185.22,1149760,976675.49
"24","Total Catch",2002,NA,1634102.95,1553765,1388255.9
"25","Total Catch",2003,NA,1709478.94,1558171,1478237.71
"26","Total Catch",2004,NA,1855798.06,1705888,1655641.72
"27","Total Catch",2005,NA,1773792.91,1527340,1573526.55
"28","Total Catch",2006,NA,1456889.74,1329005,1416468.22
"29","Total Catch",2007,NA,1177985.39,1123017,1138820.82
"30","Total Catch",2008,NA,953146.33,1004525,957679.61
"31","Total Catch",2009,NA,1041757.39,1011586,1051287.2
"32","Total Catch",2010,NA,1247102.16,1324901,1306168.53
"33","Total Catch",2011,NA,1425391.88,1479157,1527913.43
"34","Total Catch",2012,NA,1250581.55,1324139,1207723.69
"35","Total Catch",2013,NA,1479164.98,1382439,1504102.96
"36","Total Catch",2014,NA,2015675.82,1933872,2157284.12
"37","Total Catch",2015,NA,1838916.67,1787772,1787418.64
"38","Total Catch",2016,NA,1730317.4,1535065,1441220.17
