"","Fishery","Year","Observed_New","Model_New","Observed_Old","Model_Old"
"1","Total Catch",1979,NA,2295242.11,2993482,2622989.39
"2","Total Catch",1980,NA,2189682.41,2874404,2476998.1
"3","Total Catch",1981,NA,2156162.67,2434026,2357376.27
"4","Total Catch",1982,NA,2431510.75,2596592,2386928.91
"5","Total Catch",1983,NA,2465561.18,2128823,2211425.49
"6","Total Catch",1984,NA,2896996.98,2359119,2635202.24
"7","Total Catch",1985,NA,2023899.76,2051074,1983905.43
"8","Total Catch",1986,NA,2227486.34,2154780,2099514.34
"9","Total Catch",1987,NA,2428478.35,2310820,2149246.7
"10","Total Catch",1988,NA,2391633.89,2274589,2069878.94
"11","Total Catch",1989,NA,2145465.66,2067422,1887390.23
"12","Total Catch",1990,NA,2007399.04,1932198,1779265.68
"13","Total Catch",1991,NA,1800370.62,1674291,1654483.54
"14","Total Catch",1992,NA,1635414.31,1553147,1528728.27
"15","Total Catch",1993,NA,1589206.19,1514155,1462679.5
"16","Total Catch",1994,NA,1155749.05,1061448,1067908.38
"17","Total Catch",1995,NA,890100.21,774365,785440.98
"18","Total Catch",1996,NA,781658.29,682110,712324.83
"19","Total Catch",1997,NA,1073586.44,952602,959888.52
"20","Total Catch",1998,NA,865064.21,695297,736360.61
"21","Total Catch",1999,NA,874368.55,755593,775018.41
"22","Total Catch",2000,NA,768825.38,726860,665532.58
"23","Total Catch",2001,NA,1092424.8,1149760,976675.49
"24","Total Catch",2002,NA,1642512.1,1553765,1388255.9
"25","Total Catch",2003,NA,1717266.08,1558171,1478237.71
"26","Total Catch",2004,NA,1867049.77,1705888,1655641.72
"27","Total Catch",2005,NA,1783009.86,1527340,1573526.55
"28","Total Catch",2006,NA,1466749.86,1329005,1416468.22
"29","Total Catch",2007,NA,1187262.65,1123017,1138820.82
"30","Total Catch",2008,NA,957523.86,1004525,957679.61
"31","Total Catch",2009,NA,1048810.95,1011586,1051287.2
"32","Total Catch",2010,NA,1254751.92,1324901,1306168.53
"33","Total Catch",2011,NA,1432051.35,1479157,1527913.43
"34","Total Catch",2012,NA,1255497.1,1324139,1207723.69
"35","Total Catch",2013,NA,1484697.65,1382439,1504102.96
"36","Total Catch",2014,NA,2025037.16,1933872,2157284.12
"37","Total Catch",2015,NA,1844056.5,1787772,1787418.64
"38","Total Catch",2016,NA,1420543.07,1535065,1441220.17
"39","Total Pre-Terminal Catch",1979,2942419,1997722.33,2777226,2386338
"40","Total Pre-Terminal Catch",1980,2729763,1889094.51,2710220,2229554.87
"41","Total Pre-Terminal Catch",1981,2380669,1866906.6,2322804,2133571.64
"42","Total Pre-Terminal Catch",1982,2572277,2077315.79,2403843,2128728.17
"43","Total Pre-Terminal Catch",1983,2153334,2253684.71,2038704,2056368.09
"44","Total Pre-Terminal Catch",1984,2292535,2579155.19,2180050,2350602.81
"45","Total Pre-Terminal Catch",1985,2109570,1702673.68,1850212,1702843.5
"46","Total Pre-Terminal Catch",1986,2208392,1752395.1,1810171,1676708.63
"47","Total Pre-Terminal Catch",1987,2281201,1700934.32,1709885,1570021.73
"48","Total Pre-Terminal Catch",1988,2183723,1638544.71,1670160,1551126.08
"49","Total Pre-Terminal Catch",1989,2117483,1610876.3,1686736,1603915.6
"50","Total Pre-Terminal Catch",1990,2031795,1613962.39,1693812,1553815.35
"51","Total Pre-Terminal Catch",1991,1665637,1462442.3,1480165,1415094.41
"52","Total Pre-Terminal Catch",1992,1621167,1388183.67,1433051,1370294.22
"53","Total Pre-Terminal Catch",1993,1545678,1344363.85,1377715,1321490.25
"54","Total Pre-Terminal Catch",1994,1071856,960593.21,992408,952537.56
"55","Total Pre-Terminal Catch",1995,942793,678183.36,694184,656655.91
"56","Total Pre-Terminal Catch",1996,739239,522797.9,561708,564885.01
"57","Total Pre-Terminal Catch",1997,1022783,850097.23,818877,839345.27
"58","Total Pre-Terminal Catch",1998,792231,660246.42,606136,620634.61
"59","Total Pre-Terminal Catch",1999,750186,630575.07,619245,628732.11
"60","Total Pre-Terminal Catch",2000,731023,559401.84,585063,563619.59
"61","Total Pre-Terminal Catch",2001,1060131,743188.35,771395,747577.04
"62","Total Pre-Terminal Catch",2002,1505239,1194640.81,1145478,1130926.21
"63","Total Pre-Terminal Catch",2003,1576783,1262040.38,1183407,1202501.17
