

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0021B.OP7     Stage 2 calibration 0021B   OCN old data set JdeF NCBC spt FPs hand comp 83 and 84 fixed mcb term fps




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   334306    227182 |   0.680
1980   303885    235503 |   0.775
1981   248791    216949 |   0.872
1982   242315    213394 |   0.881
1983   269790    271539 |   1.006
1984   235629    221805 |   0.941
1985   212166    179934 |   0.848
1986   231590    196407 |   0.848
1987   231051    195950 |   0.848
1988   217083    184104 |   0.848
1989   224181    190124 |   0.848
1990   263558    223519 |   0.848
1991   231622    196434 |   0.848
1992   162570    137873 |   0.848
1993   212414    180144 |   0.848
1994   177074    150173 |   0.848
1995   115260     97750 |   0.848
1996   108086     91666 |   0.848
1997   221899    188188 |   0.848
1998   183408    155545 |   0.848
1999   132832    112652 |   0.848
2000   400000    139109 |   0.348

CEILINGS SPECIFIED FOR North T
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   148726    169802 |   1.142
1980   163563    154995 |   0.948
1981   151731    156419 |   1.031
1982   174147    167699 |   0.963
1983   163055    127073 |   0.779
1984   179665    192325 |   1.070
1985   186723    184329 |   0.987
1986   152999    151038 |   0.987
1987   177457    175182 |   0.987
1988   152369    150416 |   0.987
1989   207679    205017 |   0.987
1990   154116    152140 |   0.987
1991   194015    191528 |   0.987
1992   142268    140444 |   0.987
1993   161719    159646 |   0.987
1994   164795    162682 |   0.987
1995    56425     55702 |   0.987
1996       15        15 |   1.000
1997    86815     85702 |   0.987
1998   114442    112975 |   0.987
1999    44572     44001 |   0.987
2000   400000     90650 |   0.227

CEILINGS SPECIFIED FOR Centr T
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   109034    149651 |   1.373
1980    97889    131411 |   1.342
1981    79670    149417 |   1.875
1982    74731    140719 |   1.883
1983   105569     81015 |   0.767
1984    83303     49656 |   0.596
1985    28818     36762 |   1.276
1986    52556     67044 |   1.276
1987    64016     81663 |   1.276
1988    31104     39679 |   1.276
1989    19093     24356 |   1.276
1990    27312     34841 |   1.276
1991    27853     35531 |   1.276
1992    42308     53971 |   1.276
1993    24484     31234 |   1.276
1994    20136     25687 |   1.276
1995     4589      5854 |   1.276
1996        1         1 |   1.000
1997    10226     13045 |   1.276
1998     3171      4045 |   1.276
1999     2144      2735 |   1.276
