

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   334306    218588 |   0.654
1980   303885    228818 |   0.753
1981   248791    206734 |   0.831
1982   242315    203637 |   0.840
1983   269790    268739 |   0.996
1984   235629    220218 |   0.935
1985   211961    174621 |   0.824
1986   231670    190858 |   0.824
1987   231059    190354 |   0.824
1988   217090    178846 |   0.824
1989   224183    184690 |   0.824
1990   263528    217103 |   0.824
1991   231638    190831 |   0.824
1992   162616    133969 |   0.824
1993   212349    174940 |   0.824
1994   177021    145836 |   0.824
1995   115072     94800 |   0.824
1996   107892     88885 |   0.824
1997   221889    182800 |   0.824
1998   183359    151057 |   0.824
1999   132774    109384 |   0.824
2000   133812    110239 |   0.824
2001   400000    133454 |   0.334

CEILINGS SPECIFIED FOR North T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   148726    165615 |   1.114
1980   163563    153009 |   0.935
1981   151731    152266 |   1.004
1982   174147    165755 |   0.952
1983   163055    158446 |   0.972
1984   179665    236720 |   1.318
1985   186723    196417 |   1.052
1986   152999    160942 |   1.052
1987   177457    186670 |   1.052
1988   152369    160279 |   1.052
1989   207679    218461 |   1.052
1990   154116    162117 |   1.052
1991   194015    204087 |   1.052
1992   142336    149726 |   1.052
1993   161775    170174 |   1.052
1994   164492    173032 |   1.052
1995    56863     59815 |   1.052
1996       15        16 |   1.067
1997    82100     86362 |   1.052
1998   116407    122450 |   1.052
1999    44600     46915 |   1.052
2000     9200      9678 |   1.052
2001   400000     93420 |   0.234

CEILINGS SPECIFIED FOR Centr T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   109034    147550 |   1.353
1980    97889    133374 |   1.363
1981    79670    148286 |   1.861
1982    74731    145435 |   1.946
1983   105569    103292 |   0.978
1984    83303     63451 |   0.762
1985    28818     38832 |   1.347
1986    52556     70819 |   1.347
1987    64016     86261 |   1.347
1988    31104     41913 |   1.348
1989    19093     25728 |   1.348
1990    27312     36803 |   1.348
1991    27853     37532 |   1.348
1992    42310     57013 |   1.348
1993    24800     33418 |   1.347
1994    20136     27133 |   1.347
1995     4682      6309 |   1.348
1996        1         1 |   1.000
1997    10500     14149 |   1.348
1998     3800      5120 |   1.347
1999     2100      2830 |   1.348
2000      591       796 |   1.347
