

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0308B.OP7     Stage 2 calibration 0308B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   337672    221909 |   0.657
1980   303643    233979 |   0.771
1981   248782    210660 |   0.847
1982   241938    209727 |   0.867
1983   269821    270514 |   1.003
1984   235622    216739 |   0.920
1985   211933    176476 |   0.833
1986   231649    192894 |   0.833
1987   231051    192396 |   0.833
1988   217088    180769 |   0.833
1989   224182    186676 |   0.833
1990   263528    219440 |   0.833
1991   231803    193022 |   0.833
1992   162617    135411 |   0.833
1993   212350    176824 |   0.833
1994   177146    147509 |   0.833
1995   115072     95820 |   0.833
1996   107581     89583 |   0.833
1997   221944    184813 |   0.833
1998   183489    152791 |   0.833
1999   132741    110533 |   0.833
2000   133963    111551 |   0.833
2001   128692    107162 |   0.833
2002   298384    248464 |   0.833
2003   500000    212000 |   0.424

CEILINGS SPECIFIED FOR North T
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   148726    168755 |   1.135
1980   163563    156123 |   0.955
1981   151731    154607 |   1.019
1982   174147    167905 |   0.964
1983   163055    160189 |   0.982
1984   179665    237794 |   1.324
1985   186723    198999 |   1.066
1986   152999    163058 |   1.066
1987   177457    189124 |   1.066
1988   152369    162386 |   1.066
1989   207679    221332 |   1.066
1990   154116    164248 |   1.066
1991   194015    206770 |   1.066
1992   142336    151694 |   1.066
1993   161775    172411 |   1.066
1994   164492    175306 |   1.066
1995    56863     60601 |   1.066
1996       15        16 |   1.067
1997    83488     88977 |   1.066
1998   107837    114927 |   1.066
1999    56499     60213 |   1.066
2000     9780     10423 |   1.066
2001    13100     13961 |   1.066
2002    96332    102665 |   1.066
2003   500000    132855 |   0.266

CEILINGS SPECIFIED FOR Centr T
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   109034    148696 |   1.364
1980    97889    133889 |   1.368
1981    79670    147631 |   1.853
1982    74731    141770 |   1.897
1983   105569     98155 |   0.930
1984    83303     59806 |   0.718
1985    28818     38233 |   1.327
1986    52556     69726 |   1.327
1987    64016     84930 |   1.327
1988    31104     41266 |   1.327
1989    19093     25331 |   1.327
1990    27312     36235 |   1.327
1991    27853     36953 |   1.327
1992    42310     56133 |   1.327
1993    24800     32902 |   1.327
1994    20136     26714 |   1.327
1995     4682      6212 |   1.327
1996        1         1 |   1.000
