

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
1979  337672  218763  |   0.648
1980  303643  233430  |   0.769
1981  248782  212148  |   0.853
1982  241938  235411  |   0.973
1983  269821  274271  |   1.016
1984  235622  231921  |   0.984
1985  211933  181966  |   0.859
1986  231649  198895  |   0.859
1987  231051  198381  |   0.859
1988  217088  186393  |   0.859
1989  224182  192483  |   0.859
1990  263528  226266  |   0.859
1991  231803  199027  |   0.859
1992  162617  139624  |   0.859
1993  212350  182324  |   0.859
1994  177146  152098  |   0.859
1995  115072   98801  |   0.859
1996  107581   92370  |   0.859
1997  221944  190562  |   0.859
1998  183489  157544  |   0.859
1999  132741  113972  |   0.859
2000  133963  115021  |   0.859
2001  128692  110496  |   0.859
2002  298132  255977  |   0.859
2003  307380  263917  |   0.859
2004  321876  276364  |   0.859
2005  304622  261549  |   0.859
2006  263754  226460  |   0.859
2007  240233  206265  |   0.859
2008  126162  108323  |   0.859
2009  158959  136483  |   0.859
2010  177779  152642  |   0.859
2011  220131  189005  |   0.859
2012  191265  164221  |   0.859
2013  134307  115317  |   0.859
2014  339850  291796  |   0.859
2015  500000  194553  |   0.389

CEILINGS SPECIFIED FOR North T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
1979  147576  126935  |   0.860
1980  157198  121235  |   0.771
1981  153065  117360  |   0.767
1982  173472  133911  |   0.772
1983  162837  177904  |   1.093
1984  185134  338505  |   1.828
1985  165845  172038  |   1.037
1986  175715  182277  |   1.037
1987  177457  184084  |   1.037
1988  152369  158059  |   1.037
1989  207679  215434  |   1.037
1990  154109  159864  |   1.037
1991  194018  201263  |   1.037
1992  142340  147655  |   1.037
1993  161686  167724  |   1.037
1994  164581  170727  |   1.037
1995   56857   58980  |   1.037
1996       8       9  |   1.125
1997   83261   86370  |   1.037
1998  109072  113145  |   1.037
1999   54097   56117  |   1.037
2000    9948   10320  |   1.037
2001   12934   13417  |   1.037
2002  102731  106567  |   1.037
2003  140497  145744  |   1.037
2004  167508  173763  |   1.037
2005  174806  181334  |   1.037
2006  151485  157142  |   1.037
2007   83235   86343  |   1.037
2008   52147   54095  |   1.037
2009   75470   78288  |   1.037
2010   90213   93582  |   1.037
2011   74660   77448  |   1.037
2012   80257   83254  |   1.037
2013   69264   71851  |   1.037
2014  172001  178424  |   1.037
2015  500000  112466  |   0.225

CEILINGS SPECIFIED FOR Centr T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
1979  109261   96066  |   0.879
1980   98059   90415  |   0.922
1981   78659   90921  |   1.156
1982   75767   97961  |   1.293
1983  105166  103680  |   0.986
1984   83862   62297  |   0.743
1985   28814   28321  |   0.983
1986   52559   51659  |   0.983
1987   64015   62919  |   0.983
1988   31103   30571  |   0.983
1989   19092   18765  |   0.983
1990   27313   26846  |   0.983
1991   27853   27376  |   0.983
1992   42311   41587  |   0.983
1993   24780   24356  |   0.983
1994   20155   19810  |   0.983
