

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
9902B.OP7     9902B jsn jdf nets in cei file 20 = wcvi outside spt  mat file with frl and urbs only (no han)
9902B.OP7     9902B jsn jdf nets in cei file 20 = wcvi outside spt  mat file with frl and urbs only (no han)




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979   334306    251061  251061 |   0.751   0.751
1980   303885    270207  270207 |   0.889   0.889
1981   248791    251123  251123 |   1.009   1.009
1982   242315    291414  291414 |   1.203   1.203
1983   269790    284743  284743 |   1.055   1.055
1984   235629    249739  249739 |   1.060   1.060
1985   212166    207438  207438 |   0.978   0.978
1986   231590    226429  226429 |   0.978   0.978
1987   231051    225902  225902 |   0.978   0.978
1988   217083    212245  212245 |   0.978   0.978
1989   224181    219185  219185 |   0.978   0.978
1990   263558    257685  257685 |   0.978   0.978
1991   231622    226460  226460 |   0.978   0.978
1992   162570    158947  158947 |   0.978   0.978
1993   212414    207680  207680 |   0.978   0.978
1994   177074    173128  173128 |   0.978   0.978
1995   115260    112691  112691 |   0.978   0.978
1996   108086    105677  105677 |   0.978   0.978
1997   221899    216954  216954 |   0.978   0.978
1998   183408    179321  179321 |   0.978   0.978
1999   400000    163385  163385 |   0.408   0.408

CEILINGS SPECIFIED FOR North T
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979   148726    183499  183499 |   1.234   1.234
1980   163563    168533  168533 |   1.030   1.030
1981   151731    177148  177148 |   1.168   1.168
1982   174147    193824  193824 |   1.113   1.113
1983   163055    128666  128666 |   0.789   0.789
1984   179665    189483  189483 |   1.055   1.055
1985   186723    198195  198195 |   1.061   1.061
1986   152999    162399  162399 |   1.061   1.061
1987   177457    188360  188360 |   1.061   1.061
1988   152369    161731  161731 |   1.061   1.061
1989   207679    220439  220439 |   1.061   1.061
1990   154116    163585  163585 |   1.061   1.061
1991   194015    205935  205935 |   1.061   1.061
1992   142268    151009  151009 |   1.061   1.061
1993   161719    171655  171655 |   1.061   1.061
1994   164795    174920  174920 |   1.061   1.061
