"Stock","Year","CLB","Fc.Type","Agency","Mod","Actual","Used","sym","kel","ptsz","Level"
"AKS",1999,"9902B","ESC",0,11866,12219,11866,21,"white",2,1
"AKS",2000,"0021B","ESC",0,18967,16164,18967,21,"white",2,1
"AKS",2001,"0107B","ESC",0,22130,21590,22130,21,"white",2,1
"AKS",2002,"0206B","ESC",0,15650,18679,15650,21,"white",2,1
"AKS",2003,"0308B","ESC",0,22316,14576,22316,21,"white",2,1
"AKS",2004,"0404B","ESC",0,11880,17107,11880,21,"white",2,1
"AKS",2005,"0506B","ESC",0,25204,15235,25204,21,"white",2,1
"AKS",2006,"0604B","ESC",0,17966,20730,17966,21,"white",2,1
"AKS",2007,"0705B","ESC",0,25653,15012,25653,21,"white",2,1
"AKS",2008,"0807B","ESC",0,14626,13780,14626,21,"white",2,1
"AKS",2009,"0907B","ESC",0,14362,10463,14362,21,"white",2,1
"AKS",2010,"1007B","ESC",0,16445,15674,16445,21,"white",2,1
"AKS",2011,"1106B","ESC",0,17065,11808,17065,21,"white",2,1
"AKS",2012,"1209B","ESC",0,12557,6731,12557,21,"white",2,1
"AKS",2013,"1308B","ESC",0,4838,8175,4838,21,"white",2,1
"AKS",2014,"1402B","ESC",0,4239,10587,4239,21,"white",2,1
"AKS",2015,"1503B","ESC",0,6812,9961,6812,21,"white",2,1
"AKS",2016,"1601B","ESC",0,7099,5997,7099,21,"white",2,1
"AKS",2017,"1702B","ESC",0,4896,4600,4896,21,"white",2,1
"AKS",2018,"1804B","ESC",0,4971,8875,4971,21,"white",2,1
"NTH",1999,"9902B","TRS",0,149387,154294,149387,21,"white",4,2
"NTH",2000,"0021B","TRS",0,159818,188482,159818,21,"white",4,2
"NTH",2001,"0107B","TRS",0,189088,212075,189088,21,"white",4,2
"NTH",2002,"0206B","TRS",0,228073,147769,228073,21,"white",4,2
"NTH",2003,"0308B","TRS",0,154103,165223,154103,21,"white",4,2
"NTH",2004,"0404B","TRS",0,171070,153494,171070,21,"white",4,2
"NTH",2005,"0506B","TRS",0,154552,132480,154552,21,"white",4,2
"NTH",2006,"0604B","TRS",0,132710,151915,132710,21,"white",4,2
"NTH",2007,"0705B","TRS",0,156017,123388,156017,21,"white",4,2
"NTH",2008,"0807B","TRS",0,131262,112038,131262,21,"white",4,2
"NTH",2009,"0907B","TRS",0,119761,126901,119761,21,"white",4,2
"NTH",2010,"1007B","TRS",0,136998,114904,136998,21,"white",4,2
"NTH",2011,"1106B","TRS",0,119323,95091,119323,21,"white",4,2
"NTH",2012,"1209B","TRS",0,98010,81097,98010,21,"white",4,2
"NTH",2013,"1308B","TRS",0,86819,96349,86819,21,"white",4,2
"NTH",2014,"1402B","TRS",0,94878,97188,94878,21,"white",4,2
"NTH",2015,"1503B","TRS",0,95587,154141,95587,21,"white",4,2
"NTH",2016,"1601B","TRS",0,146607,102650,146607,21,"white",4,2
"NTH",2017,"1702B","TRS",104935,108254,56483,104935,21,"black",4,2
"NTH",2018,"1804B","TRS",101362,90891,92967,101362,21,"black",4,2
"RBH+RBT",1999,"9902B","TRS",68400,77836,105402,68400,21,"black",4,3
"RBH+RBT",2000,"0021B","TRS",15040,21040,39227,15040,21,"black",4,3
"RBH+RBT",2001,"0107B","TRS",30633,33702,89209,30633,21,"black",4,3
"RBH+RBT",2002,"0206B","TRS",109882,128068,167548,109882,21,"black",4,3
"RBH+RBT",2003,"0308B","TRS",105801,111430,217662,105801,21,"black",4,3
"RBH+RBT",2004,"0404B","TRS",144180,166548,261827,144180,21,"black",4,3
"RBH+RBT",2005,"0506B","TRS",218840,244768,157906,218840,21,"black",4,3
"RBH+RBT",2006,"0604B","TRS",138878,152483,197866,138878,21,"black",4,3
"RBH+RBT",2007,"0705B","TRS",117321,151925,121232,117321,21,"black",4,3
"RBH+RBT",2008,"0807B","TRS",60255,67347,99325,60255,21,"black",4,3
"RBH+RBT",2009,"0907B","TRS",58382,76063,92944,58382,21,"black",4,3
"RBH+RBT",2010,"1007B","TRS",61586,75748,95366,61586,21,"black",4,3
"RBH+RBT",2011,"1106B","TRS",74708,98929,163010,74708,21,"black",4,3
"RBH+RBT",2012,"1209B","TRS",54765,70838,81925,54765,21,"black",4,3
"RBH+RBT",2013,"1308B","TRS",0,32180,181234,32180,21,"white",4,3
"RBH+RBT",2014,"1402B","TRS",216727,205989,121694,216727,21,"black",4,3
"RBH+RBT",2015,"1503B","TRS",105003,91710,209375,105003,21,"black",4,3
"RBH+RBT",2016,"1601B","TRS",224119,235776,172857,224119,21,"black",4,3
"RBH+RBT",2017,"1702B","TRS",163568,172885,187108,163568,21,"black",4,3
"RBH+RBT",2018,"1804B","TRS",158357,154182,181128,158357,21,"black",4,3
"GSQ",1999,"9902B","ESC",0,16450,26783,16450,21,"white",2,4
"GSQ",2000,"0021B","ESC",0,19452,35101,19452,21,"white",2,4
