"Stock","Year","Mod","Agency","Actual","Model.Agency","Agency.Actual","Model.Actual","CLB","Level"
"AKS","1999","11,866","NA","12,219",NA,NA,"97%","9902B",1
"AKS","2000","18,967","NA","16,164",NA,NA,"117%","0021B",1
"AKS","2001","22,130","NA","21,590",NA,NA,"103%","0107B",1
"AKS","2002","15,650","NA","18,679",NA,NA,"84%","0206B",1
"AKS","2003","22,316","NA","14,576",NA,NA,"153%","0308B",1
"AKS","2004","11,880","NA","17,107",NA,NA,"69%","0404B",1
"AKS","2005","25,204","NA","15,235",NA,NA,"165%","0506B",1
"AKS","2006","17,966","NA","20,730",NA,NA,"87%","0604B",1
"AKS","2007","25,653","NA","15,012",NA,NA,"171%","0705B",1
"AKS","2008","14,626","NA","13,780",NA,NA,"106%","0807B",1
"AKS","2009","14,362","NA","10,463",NA,NA,"137%","0907B",1
"AKS","2010","16,445","NA","15,674",NA,NA,"105%","1007B",1
"AKS","2011","17,065","NA","11,808",NA,NA,"145%","1106B",1
"AKS","2012","12,557","NA","6,731",NA,NA,"187%","1209B",1
"AKS","2013","4,838","NA","8,175",NA,NA,"59%","1308B",1
"AKS","2014","4,239","NA","10,587",NA,NA,"40%","1402B",1
"AKS","2015","6,812","NA","9,961",NA,NA,"68%","1503B",1
"AKS","2016","7,099","NA","5,997",NA,NA,"118%","1601B",1
"AKS","2017","4,896","NA","4,600",NA,NA,"106%","1702B",1
"AKS","2018","4,971","NA","8,875",NA,NA,"56%","1804B",1
"AKS","2019","8,185","NA","8,567",NA,NA,"96%","1905B",1
"AKS","2020","5,470","NA","NA",NA,NA,NA,"2000B",1
"AKS","AVG","NA","NA","NA",NA,NA,"108%",NA,1
"NTH","1999","149,387","NA","154,294",NA,NA,"97%","9902B",2
"NTH","2000","159,818","NA","188,482",NA,NA,"85%","0021B",2
"NTH","2001","189,088","NA","212,075",NA,NA,"89%","0107B",2
"NTH","2002","228,073","NA","147,769",NA,NA,"154%","0206B",2
"NTH","2003","154,103","NA","165,223",NA,NA,"93%","0308B",2
"NTH","2004","171,070","NA","153,494",NA,NA,"111%","0404B",2
"NTH","2005","154,552","NA","132,480",NA,NA,"117%","0506B",2
"NTH","2006","132,710","NA","151,915",NA,NA,"87%","0604B",2
"NTH","2007","156,017","NA","123,388",NA,NA,"126%","0705B",2
"NTH","2008","131,262","NA","112,038",NA,NA,"117%","0807B",2
"NTH","2009","119,761","NA","126,901",NA,NA,"94%","0907B",2
"NTH","2010","136,998","NA","114,904",NA,NA,"119%","1007B",2
"NTH","2011","119,323","NA","95,091",NA,NA,"125%","1106B",2
"NTH","2012","98,010","NA","81,097",NA,NA,"121%","1209B",2
"NTH","2013","86,819","NA","96,349",NA,NA,"90%","1308B",2
"NTH","2014","94,878","NA","97,188",NA,NA,"98%","1402B",2
"NTH","2015","95,587","NA","154,141",NA,NA,"62%","1503B",2
"NTH","2016","146,607","NA","102,126",NA,NA,"144%","1601B",2
"NTH","2017","108,254","104,935","55,918","103%","188%","194%","1702B",2
"NTH","2018","90,891","101,362","98,984","90%","102%","92%","1804B",2
"NTH","2019","86,376","84,033","90,440","103%","93%","96%","1905B",2
"NTH","2020","87,807","83,165","NA","106%",NA,NA,"2000B",2
"NTH","AVG","NA","NA","NA","100%","128%","110%",NA,2
"RBH+RBT","1999","77,836","68,400","104,859","114%","65%","74%","9902B",3
"RBH+RBT","2000","21,040","15,040","38,484","140%","39%","55%","0021B",3
"RBH+RBT","2001","33,702","30,633","88,285","110%","35%","38%","0107B",3
"RBH+RBT","2002","128,068","109,882","166,001","117%","66%","77%","0206B",3
"RBH+RBT","2003","111,430","105,801","216,544","105%","49%","51%","0308B",3
"RBH+RBT","2004","166,548","144,180","264,754","116%","54%","63%","0404B",3
"RBH+RBT","2005","244,768","218,840","157,480","112%","139%","155%","0506B",3
"RBH+RBT","2006","152,483","138,878","197,651","110%","70%","77%","0604B",3
"RBH+RBT","2007","151,925","117,321","120,804","129%","97%","126%","0705B",3
"RBH+RBT","2008","67,347","60,255","98,453","112%","61%","68%","0807B",3
"RBH+RBT","2009","76,063","58,382","91,644","130%","64%","83%","0907B",3
"RBH+RBT","2010","75,748","61,586","94,673","123%","65%","80%","1007B",3
"RBH+RBT","2011","98,929","74,708","158,123","132%","47%","63%","1106B",3
"RBH+RBT","2012","70,838","54,765","80,896","129%","68%","88%","1209B",3
"RBH+RBT","2013","32,180","NA","175,440",NA,NA,"18%","1308B",3
"RBH+RBT","2014","205,989","216,727","115,149","95%","188%","179%","1402B",3
"RBH+RBT","2015","91,710","105,003","189,058","87%","56%","49%","1503B",3
"RBH+RBT","2016","235,776","224,119","168,656","105%","133%","140%","1601B",3
"RBH+RBT","2017","172,885","163,568","177,199","106%","92%","98%","1702B",3
"RBH+RBT","2018","154,182","158,357","170,644","97%","93%","90%","1804B",3
"RBH+RBT","2019","208,973","195,095","188,731","107%","103%","111%","1905B",3
"RBH+RBT","2020","175,725","174,758","NA","101%",NA,NA,"2000B",3
"RBH+RBT","AVG","NA","NA","NA","113%","79%","85%",NA,3
"GSQ","1999","16,450","NA","26,783",NA,NA,"61%","9902B",4
"GSQ","2000","19,452","NA","35,101",NA,NA,"55%","0021B",4
"GSQ","2001","25,828","NA","42,436",NA,NA,"61%","0107B",4
"GSQ","2002","41,492","NA","41,022",NA,NA,"101%","0206B",4
"GSQ","2003","36,882","NA","40,500",NA,NA,"91%","0308B",4
"GSQ","2004","39,766","NA","31,803",NA,NA,"125%","0404B",4
"GSQ","2005","38,798","NA","28,490",NA,NA,"136%","0506B",4
"GSQ","2006","39,171","NA","50,989",NA,NA,"77%","0604B",4
"GSQ","2007","41,711","NA","24,877",NA,NA,"168%","0705B",4
"GSQ","2008","30,065","NA","19,392",NA,NA,"155%","0807B",4
"GSQ","2009","26,173","NA","31,323",NA,NA,"84%","0907B",4
"GSQ","2010","26,624","NA","22,480",NA,NA,"118%","1007B",4
"GSQ","2011","23,998","NA","18,751",NA,NA,"128%","1106B",4
"GSQ","2012","25,756","NA","42,830",NA,NA,"60%","1209B",4
"GSQ","2013","31,498","NA","40,341",NA,NA,"78%","1308B",4
"GSQ","2014","30,162","NA","41,418",NA,NA,"73%","1402B",4
"GSQ","2015","26,699","NA","37,253",NA,NA,"72%","1503B",4
"GSQ","2016","26,084","NA","38,648",NA,NA,"67%","1601B",4
"GSQ","2017","40,981","39,106","52,535","105%","74%","78%","1702B",4
"GSQ","2018","50,676","49,654","33,608","102%","148%","151%","1804B",4
"GSQ","2019","35,642","36,991","37,834","96%","98%","94%","1905B",4
"GSQ","2020","37,758","37,859","NA","100%",NA,NA,"2000B",4
"GSQ","AVG","NA","NA","NA","101%","107%","97%",NA,4
"GSH","1999","22,896","NA","23,015",NA,NA,"99%","9902B",5
"GSH","2000","19,165","NA","21,322",NA,NA,"90%","0021B",5
"GSH","2001","17,547","NA","29,633",NA,NA,"59%","0107B",5
"GSH","2002","25,051","NA","22,064",NA,NA,"114%","0206B",5
"GSH","2003","21,222","NA","21,496",NA,NA,"99%","0308B",5
"GSH","2004","16,573","NA","20,852",NA,NA,"79%","0404B",5
"GSH","2005","21,046","NA","25,941",NA,NA,"81%","0506B",5
"GSH","2006","18,169","NA","22,109",NA,NA,"82%","0604B",5
"GSH","2007","24,378","NA","12,733",NA,NA,"191%","0705B",5
"GSH","2008","11,765","NA","12,011",NA,NA,"98%","0807B",5
"GSH","2009","17,551","NA","13,380",NA,NA,"131%","0907B",5
"GSH","2010","7,999","NA","11,605",NA,NA,"69%","1007B",5
"GSH","2011","14,671","NA","11,480",NA,NA,"128%","1106B",5
"GSH","2012","10,104","NA","8,462",NA,NA,"119%","1209B",5
"GSH","2013","5,568","NA","8,242",NA,NA,"68%","1308B",5
"GSH","2014","6,116","NA","15,665",NA,NA,"39%","1402B",5
"GSH","2015","18,566","NA","9,888",NA,NA,"188%","1503B",5
"GSH","2016","5,475","NA","10,236",NA,NA,"53%","1601B",5
"GSH","2017","10,414","11,820","14,524","88%","81%","72%","1702B",5
"GSH","2018","13,423","11,353","11,731","118%","97%","114%","1804B",5
"GSH","2019","8,708","10,207","15,398","85%","66%","57%","1905B",5
"GSH","2020","14,104","15,081","NA","94%",NA,NA,"2000B",5
"GSH","AVG","NA","NA","NA","96%","81%","97%",NA,5
"GST","1999","14,236","NA","8,715",NA,NA,"163%","9902B",6
"GST","2000","11,094","NA","8,223",NA,NA,"135%","0021B",6
"GST","2001","7,955","NA","8,569",NA,NA,"93%","0107B",6
"GST","2002","8,833","NA","7,812",NA,NA,"113%","0206B",6
"GST","2003","8,088","NA","5,903",NA,NA,"137%","0308B",6
"GST","2004","5,157","NA","3,642",NA,NA,"142%","0404B",6
"GST","2005","4,459","NA","4,870",NA,NA,"92%","0506B",6
"GST","2006","4,070","NA","4,880",NA,NA,"83%","0604B",6
"GST","2007","7,782","NA","4,778",NA,NA,"163%","0705B",6
"GST","2008","6,823","NA","5,646",NA,NA,"121%","0807B",6
"GST","2009","5,701","NA","3,106",NA,NA,"184%","0907B",6
"GST","2010","2,972","NA","5,763",NA,NA,"52%","1007B",6
"GST","2011","10,778","NA","7,595",NA,NA,"142%","1106B",6
"GST","2012","11,433","NA","6,291",NA,NA,"182%","1209B",6
"GST","2013","8,267","NA","5,440",NA,NA,"152%","1308B",6
"GST","2014","11,910","NA","6,579",NA,NA,"181%","1402B",6
"GST","2015","13,177","NA","9,840",NA,NA,"134%","1503B",6
"GST","2016","7,469","NA","10,639",NA,NA,"70%","1601B",6
"GST","2017","11,163","10,639","14,270","105%","75%","78%","1702B",6
"GST","2018","16,186","12,162","19,417","133%","63%","83%","1804B",6
"GST","2019","25,521","22,630","21,433","113%","106%","119%","1905B",6
