"Stock","Year","Mod","Agency","Actual","Model.Agency","Agency.Actual","Model.Actual","CLB","Level"
"YAK","2020","4,377","NA","NA",NA,NA,NA,"2002B",1
"YAK","AVG","NA","NA","NA",NA,NA,NA,NA,1
"ALS","2020","10,787","NA","NA",NA,NA,NA,"2002B",2
"ALS","AVG","NA","NA","NA",NA,NA,NA,NA,2
"SSA","2020","9,630","NA","NA",NA,NA,NA,"2002B",3
"SSA","AVG","NA","NA","NA",NA,NA,NA,NA,3
"NSA","2020","3,275","NA","NA",NA,NA,NA,"2002B",4
"NSA","AVG","NA","NA","NA",NA,NA,NA,NA,4
"TST","2020","41,536","NA","NA",NA,NA,NA,"2002B",5
"TST","AVG","NA","NA","NA",NA,NA,NA,NA,5
"NBC","2020","21,894","34,971","NA","63%",NA,NA,"2002B",6
"NBC","AVG","NA","NA","NA","63%",NA,NA,NA,6
"CBC","2020","7,601","11,463","NA","66%",NA,NA,"2002B",7
"CBC","AVG","NA","NA","NA","66%",NA,NA,NA,7
"WVH","2020","173,029","152,227","NA","114%",NA,NA,"2002B",8
"WVH","AVG","NA","NA","NA","114%",NA,NA,NA,8
"WVN","2020","26,012","22,531","NA","115%",NA,NA,"2002B",9
"WVN","AVG","NA","NA","NA","115%",NA,NA,NA,9
"UGS","2020","5,943","11,779","NA","50%",NA,NA,"2002B",10
"UGS","AVG","NA","NA","NA","50%",NA,NA,NA,10
"PPS","2020","647","563","NA","115%",NA,NA,"2002B",11
"PPS","AVG","NA","NA","NA","115%",NA,NA,NA,11
"MGS","2020","25,627","23,595","NA","109%",NA,NA,"2002B",12
"MGS","AVG","NA","NA","NA","109%",NA,NA,NA,12
"LGS","2020","13,753","14,821","NA","93%",NA,NA,"2002B",13
"LGS","AVG","NA","NA","NA","93%",NA,NA,NA,13
"FS2","2020","6,190","6,220","NA","100%",NA,NA,"2002B",14
"FS2","AVG","NA","NA","NA","100%",NA,NA,NA,14
"FS3","2020","19,145","23,332","NA","82%",NA,NA,"2002B",15
"FS3","AVG","NA","NA","NA","82%",NA,NA,NA,15
"FSO","2020","119,202","114,566","NA","104%",NA,NA,"2002B",16
"FSO","AVG","NA","NA","NA","104%",NA,NA,NA,16
"FSS","2020","10,046","10,737","NA","94%",NA,NA,"2002B",17
"FSS","AVG","NA","NA","NA","94%",NA,NA,NA,17
"FHF","2020","53,314","59,745","NA","89%",NA,NA,"2002B",18
"FHF","AVG","NA","NA","NA","89%",NA,NA,NA,18
"FCF","2020","44,589","31,077","NA","143%",NA,NA,"2002B",19
"FCF","AVG","NA","NA","NA","143%",NA,NA,NA,19
"NKS","2020","1,511","1,479","NA","102%",NA,NA,"2002B",20
"NKS","AVG","NA","NA","NA","102%",NA,NA,NA,20
"NKF","2020","15,769","16,858","NA","94%",NA,NA,"2002B",21
"NKF","AVG","NA","NA","NA","94%",NA,NA,NA,21
"SKG","2020","13,971","12,877","NA","108%",NA,NA,"2002B",22
"SKG","AVG","NA","NA","NA","108%",NA,NA,NA,22
"STL","2020","728","762","NA","96%",NA,NA,"2002B",23
"STL","AVG","NA","NA","NA","96%",NA,NA,NA,23
"SNO","2020","2,557","2,978","NA","86%",NA,NA,"2002B",24
"SNO","AVG","NA","NA","NA","86%",NA,NA,NA,24
"PSF","2020","206,848","186,117","NA","111%",NA,NA,"2002B",25
"PSF","AVG","NA","NA","NA","111%",NA,NA,NA,25
"PSY","2020","4,609","4,059","NA","114%",NA,NA,"2002B",26
"PSY","AVG","NA","NA","NA","114%",NA,NA,NA,26
"PSN","2020","7,741","7,132","NA","109%",NA,NA,"2002B",27
"PSN","AVG","NA","NA","NA","109%",NA,NA,NA,27
"WCH","2020","30,608","32,802","NA","93%",NA,NA,"2002B",28
"WCH","AVG","NA","NA","NA","93%",NA,NA,NA,28
"WCN","2020","33,592","30,130","NA","111%",NA,NA,"2002B",29
"WCN","AVG","NA","NA","NA","111%",NA,NA,NA,29
"CWS","2020","3,739","3,843","NA","97%",NA,NA,"2002B",30
"CWS","AVG","NA","NA","NA","97%",NA,NA,NA,30
"WSH","2020","42,265","43,430","NA","97%",NA,NA,"2002B",31
"WSH","AVG","NA","NA","NA","97%",NA,NA,NA,31
"SUM","2020","34,705","38,300","NA","91%",NA,NA,"2002B",32
"SUM","AVG","NA","NA","NA","91%",NA,NA,NA,32
"LRW","2020","21,961","19,700","NA","111%",NA,NA,"2002B",33
"LRW","AVG","NA","NA","NA","111%",NA,NA,NA,33
"BON","2020","15,553","16,500","NA","94%",NA,NA,"2002B",34
"BON","AVG","NA","NA","NA","94%",NA,NA,NA,34
"CWF","2020","38,117","34,500","NA","110%",NA,NA,"2002B",35
"CWF","AVG","NA","NA","NA","110%",NA,NA,NA,35
"SPR","2020","48,173","47,500","NA","101%",NA,NA,"2002B",36
"SPR","AVG","NA","NA","NA","101%",NA,NA,NA,36
"MCB","2020","86,293","78,200","NA","110%",NA,NA,"2002B",37
"MCB","AVG","NA","NA","NA","110%",NA,NA,NA,37
"URB","2020","236,066","220,600","NA","107%",NA,NA,"2002B",38
"URB","AVG","NA","NA","NA","107%",NA,NA,NA,38
"LYF","2020","13,011","10,902","NA","119%",NA,NA,"2002B",39
"LYF","AVG","NA","NA","NA","119%",NA,NA,NA,39
"NOC","2020","59,466","44,809","NA","133%",NA,NA,"2002B",40
"NOC","AVG","NA","NA","NA","133%",NA,NA,NA,40
"MOC","2020","25,867","28,140","NA","92%",NA,NA,"2002B",41
"MOC","AVG","NA","NA","NA","92%",NA,NA,NA,41
