"CLB","Fc.Type","Stock","Year","Agency","Mod"
"2002B","TRS","FS2",2020,6220,6190
"2002B","TRS","FS3",2020,23332,19145
"2002B","TRS","FSS",2020,10737,10046
"2002B","TRS","WVH",2020,152227,173029
"2002B","TRS","WVN",2020,22531,26012
"2002B","TRS","LGS",2020,14821,13753
"2002B","TRS","NKF",2020,16858,15769
"2002B","TRS","PSF",2020,186117,206848
"2002B","TRS","PSN",2020,7132,7741
"2002B","TRS","PSY",2020,4059,4609
"2002B","TRS","SKG",2020,12877,13971
"2002B","TRS","SNO",2020,2978,2557
"2002B","TRS","WCH",2020,32802,30608
"2002B","TRS","WCN",2020,30130,33592
"2002B","TRS","WSH",2020,43430,42265
"2002B","TRS","CWS",2020,3843,3739
"2002B","TRS","SUM",2020,38300,34705
"2002B","TRS","URB",2020,220600,236066
"2002B","TRS","SPR",2020,47500,48173
"2002B","TRS","BON",2020,16500,15553
"2002B","TRS","CWF",2020,34500,38117
"2002B","TRS","LRW",2020,19700,21961
"2002B","TRS","LYF",2020,10902,13011
"2002B","TRS","MCB",2020,78200,86293
"2002B","ESC","SSA",2020,0,9630
"2002B","ESC","NSA",2020,0,3275
"2002B","ESC","ALS",2020,0,10787
"2002B","ESC","TST",2020,0,41536
"2002B","ESC","NBC",2020,34971,21894
"2002B","ESC","CBC",2020,11463,7601
"2002B","ESC","FSO",2020,114566,119202
"2002B","ESC","FHF",2020,59745,53314
"2002B","ESC","FCF",2020,31077,44589
"2002B","ESC","UGS",2020,11779,5943
"2002B","ESC","PPS",2020,563,647
"2002B","ESC","MGS",2020,23595,25627
"2002B","ESC","NKS",2020,1479,1511
"2002B","ESC","STL",2020,762,728
"2002B","ESC","NOC",2020,44809,59466
"2002B","ESC","MOC",2020,28140,25867
"2002B","ESC","YAK",2020,0,4377
